,Tag,Image Name
1513,['harlequin'],1937724.jpeg
1514,"['harlequin', 'cream', 'dark']",1759171.jpeg
1515,"['brindle', 'dalmatian', 'yellow']",2448306.jpeg
1516,"['flame', 'red']",2184902.jpeg
1517,"['harlequin', 'dark', 'drippy']",2388467.jpeg
1518,['harlequin'],2457917.jpeg
1519,"['pinstripe', 'cream', 'dark']",2404514.jpeg
1520,"['harlequin', 'het phantom', 'pin-dashed', 'portholes', 'red']",2097688.jpeg
1521,['quad-stripe'],2537233.jpeg
1522,['partial pinstripe'],2326541.jpeg
1523,"['harlequin', 'red']",1213990.jpeg
1524,['tri-color'],2513847.jpeg
1525,"['harlequin', 'orange', 'black', 'dark']",2180242.jpeg
1526,"['dark', 'tri-color']",2446280.jpeg
1527,"['extreme harlequin', 'harlequin', 'crowned', 'dark', 'olive']",2250073.jpeg
1528,"['extreme harlequin', 'tri-color', 'drippy']",2316744.jpeg
1529,"['dalmatian', 'lavender']",2475797.jpeg
1530,"['orange', 'dark', 'halloween']",2437204.jpeg
1531,"['harlequin', 'dark']",2510360.jpeg
1532,"['super dalmatian', 'red spot', 'portholes']",2472802.jpeg
1533,['red'],2472745.jpeg
1534,"['dalmatian', 'flame', 'harlequin', 'lavender']",651877.jpeg
1535,"['flame', 'het phantom', 'red']",2363413.jpeg
1536,"['harlequin', 'pinstripe', 'tri-color']",2322412.jpeg
1537,"['brindle', 'extreme harlequin', 'harlequin', 'cream', 'yellow']",2193295.jpeg
1538,"['tri-color', 'lilly white', 'red base']",2539689.jpeg
1539,['harlequin'],2446298.jpeg
1540,"['pinstripe', 'dark', 'tri-color']",2450215.jpeg
1541,['dalmatian'],2406186.jpeg
1542,"['pinstripe', 'lavender']",2353541.jpeg
1543,"['dalmatian', 'quad-stripe', 'portholes', 'yellow']",2453128.jpeg
1544,"['dalmatian', 'harlequin', 'partial pinstripe', 'het phantom', 'ink spot']",2434985.jpeg
1545,"['dark', 'tri-color']",2376962.jpeg
1546,['super dalmatian'],2430753.jpeg
1547,['harlequin'],2457894.jpeg
1548,"['dalmatian', 'red', 'yellow']",2331741.jpeg
1549,"['brindle', 'portholes']",2414065.jpeg
1550,"['harlequin', 'tri-color']",2457774.jpeg
1551,"['pinstripe', 'dark']",2548665.jpeg
1552,['dark'],2548566.jpeg
1553,"['pinstripe', 'yellow']",2084181.jpeg
1554,"['extreme harlequin', 'partial pinstripe', 'pos portholes', 'pos lavender', 'dark', 'tri-color', 'halloween']",2288967.jpeg
1555,['dark'],2316183.jpeg
1556,"['flame', 'dark']",2335599.jpeg
1557,['harlequin'],2438233.jpeg
1558,"['brindle', 'portholes', 'yellow']",2337564.jpeg
1559,['yellow'],2395616.jpeg
1560,['quad-stripe'],2456501.jpeg
1561,['red'],2542268.jpeg
1562,"['quad-stripe', 'halloween']",2426355.jpeg
1563,"['dalmatian', 'harlequin', 'partial pinstripe', 'lavender', 'drippy']",2274750.jpeg
1564,"['harlequin', 'partial pinstripe']",2541239.jpeg
1565,"['harlequin', 'red base']",2417346.jpeg
1566,"['brindle', 'pinstripe', 'yellow']",2161603.jpeg
1567,"['harlequin', 'pin-dashed', 'pinstripe', 'blushing', 'red']",2098679.jpeg
1568,"['brindle', 'dalmatian', 'portholes', 'red']",2129405.jpeg
1569,"['brindle', 'yellow']",2189069.jpeg
1570,"['dark', 'tri-color']",2362724.jpeg
1571,"['dalmatian', 'axanthic', 'phantom']",2487427.jpeg
1572,"['harlequin', 'red']",2536921.jpeg
1573,"['quad-stripe', 'lavender']",2510475.jpeg
1574,"['pinstripe', 'dark']",2559819.jpeg
1575,['extreme harlequin'],1023712.jpeg
1576,"['pos extreme harlequin', 'harlequin', 'dark']",2346869.jpeg
1577,['quad-stripe'],2379051.jpeg
1578,"['dalmatian', 'super dalmatian', 'oil spot', 'red spot', 'dark']",2545150.jpeg
1579,['red'],2379543.jpeg
1580,"['quad-stripe', 'tri-color']",2379475.jpeg
1581,"['red', 'lilly white', 'phantom']",2379483.jpeg
1582,"['dalmatian', 'yellow']",2542278.jpeg
1583,"['harlequin', 'pinstripe', 'red']",2542288.jpeg
1584,"['harlequin', 'tri-color']",2549606.jpeg
1585,"['partial pinstripe', 'pinstripe', 'cream', 'dark']",2551582.jpeg
1586,"['dalmatian', 'pinstripe', 'yellow', 'phantom']",1366725.jpeg
1587,['lavender'],2482358.jpeg
1588,"['partial pinstripe', 'portholes', 'yellow']",2382402.jpeg
1589,"['dalmatian', 'super dalmatian', 'ink spot', 'oil spot', 'red spot', 'patternless']",2473992.jpeg
1590,"['dalmatian', 'pinstripe', 'quad-stripe', 'fringing', 'kneecaps', 'cream', 'lavender']",2390680.jpeg
1591,"['dalmatian', 'ink spot']",2432512.jpeg
1592,['extreme harlequin'],2474091.jpeg
1593,['red'],2230135.jpeg
1594,"['dalmatian', 'ink spot']",2390571.jpeg
1595,"['extreme harlequin', 'harlequin', 'orange', 'yellow', 'dark', 'tri-color']",2557246.jpeg
1596,"['harlequin', 'white wall', 'tri-color']",2367529.jpeg
1597,"['harlequin', 'pinstripe', 'quad-stripe', 'dark']",2340052.jpeg
1598,"['partial pinstripe', 'dark']",2548535.jpeg
1599,"['cream', 'black']",2216609.jpeg
1600,['dalmatian'],2133769.jpeg
1601,['red'],2390555.jpeg
1602,"['super dalmatian', 'ink spot']",2285412.jpeg
1603,['harlequin'],2523879.jpeg
1604,"['extreme harlequin', 'patternless']",2501502.jpeg
1605,"['dalmatian', 'super dalmatian', 'tiger', 'ink spot']",2354703.jpeg
1606,['harlequin'],2329412.jpeg
1607,"['harlequin', 'partial pinstripe', 'portholes']",2486838.jpeg
1608,"['pinstripe', 'red']",2518253.jpeg
1609,"['brindle', 'dalmatian', 'yellow']",2448300.jpeg
1610,"['extreme harlequin', 'partial pinstripe']",2330731.jpeg
1611,['extreme harlequin'],2364269.jpeg
1612,"['brindle', 'dalmatian', 'super dalmatian']",2499374.jpeg
1613,"['harlequin', 'partial pinstripe', 'portholes']",2549596.jpeg
1614,"['extreme harlequin', 'portholes', 'tipped crests', 'pos cream', 'tri-color']",1049146.jpeg
1615,"['white out', 'dark', 'tri-color']",2423570.jpeg
1616,"['pinstripe', 'cream', 'dark']",2549121.jpeg
1617,"['dalmatian', 'red']",1705217.jpeg
1618,"['dalmatian', 'red']",1705217.jpeg
1619,['harlequin'],2499350.jpeg
1620,"['dalmatian', 'harlequin', 'red spot']",2455183.jpeg
1621,"['orange', 'dark', 'tri-color', 'white tip']",2364151.jpeg
1622,"['partial pinstripe', 'pinstripe', 'quad-stripe']",2406861.jpeg
1623,['harlequin'],2548357.jpeg
1624,"['harlequin', 'tri-color']",2518387.jpeg
1625,"['partial pinstripe', 'portholes', 'fringing', 'kneecaps', 'pos lavender', 'tri-color']",2545539.jpeg
1626,['harlequin'],2550561.jpeg
1627,"['extreme harlequin', 'harlequin', 'lilly white', 'phantom']",2420092.jpeg
1628,"['harlequin', 'orange']",2522838.jpeg
1629,['extreme harlequin'],2083256.jpeg
1630,"['quad-stripe', 'dark']",2381143.jpeg
1631,"['dalmatian', 'harlequin']",2472756.jpeg
1632,['harlequin'],1601890.jpeg
1633,['dalmatian'],2550375.jpeg
1634,"['cream', 'dark']",2396932.jpeg
1635,['dark'],2397124.jpeg
1636,"['harlequin', 'partial pinstripe']",2536105.jpeg
1637,"['dalmatian', 'phantom']",1758431.jpeg
1638,"['extreme harlequin', 'halloween', 'drippy']",1809333.jpeg
1639,['dalmatian'],2522819.jpeg
1640,"['tipped crests', 'cream', 'pos lavender', 'tri-color']",1049107.jpeg
1641,['tri-color'],2510911.jpeg
1642,['dark'],2547647.jpeg
1643,"['yellow', 'empty back', 'phantom']",2554362.jpeg
1644,"['partial pinstripe', 'reverse pinstripe', 'portholes', 'kneecaps', 'yellow', 'phantom']",2158236.jpeg
1645,['harlequin'],2238808.jpeg
1646,"['tiger', 'dark']",2548511.jpeg
1647,"['harlequin', 'pin-dashed', 'portholes']",2474355.jpeg
1648,['phantom'],2263879.jpeg
1649,['dalmatian'],2352286.jpeg
1650,"['tiger', 'yellow']",2553822.jpeg
1651,"['harlequin', 'partial pinstripe', 'dark']",2549589.jpeg
1652,['harlequin'],2412337.jpeg
1653,"['cream', 'dark']",2396893.jpeg
1654,"['harlequin', 'tri-color']",2493695.jpeg
1655,"['extreme harlequin', 'pin-dashed']",2398202.jpeg
1656,"['brindle', 'dalmatian']",2403517.jpeg
1657,"['cream', 'dark', 'tri-color']",2185459.jpeg
1658,"['harlequin', 'dark']",2522897.jpeg
1659,"['dalmatian', 'harlequin', 'pinstripe', 'red']",1646117.jpeg
1660,['harlequin'],2545856.jpeg
1661,"['partial pinstripe', 'fringing', 'furred', 'lavender']",2558467.jpeg
1662,['tri-color'],2537931.jpeg
1663,"['harlequin', 'tri-color']",2457584.jpeg
1664,"['tri-color', 'red base']",2443683.jpeg
1665,"['harlequin', 'partial pinstripe']",2541260.jpeg
1666,"['tri-color', 'drippy']",1890470.jpeg
1667,"['harlequin', 'red', 'tri-color']",2382365.jpeg
1668,['yellow'],2457596.jpeg
1669,['harlequin'],2457770.jpeg
1670,"['harlequin', 'tiger', 'red', 'patternless']",2302353.jpeg
1671,"['dalmatian', 'tiger', 'portholes']",2308671.jpeg
1672,"['extreme harlequin', 'tri-color']",2369912.jpeg
1673,"['harlequin', 'quad-stripe', 'dark']",2437547.jpeg
1674,"['brindle', 'dalmatian', 'yellow']",2363390.jpeg
1675,['harlequin'],2359039.jpeg
1676,"['dalmatian', 'pinstripe', 'quad-stripe']",2369944.jpeg
1677,"['harlequin', 'dark']",2438268.jpeg
1678,"['dalmatian', 'flame', 'harlequin']",1758409.jpeg
1679,['harlequin'],2388553.jpeg
1680,"['cream', 'dark']",2396883.jpeg
1681,['dalmatian'],2457218.jpeg
1682,['harlequin'],2275806.jpeg
1683,['red'],2390598.jpeg
1684,['harlequin'],2479821.jpeg
1685,['tri-color'],2408779.jpeg
1686,"['dalmatian', 'bi-color']",2278114.jpeg
1687,"['extreme harlequin', 'lavender', 'dark']",2548470.jpeg
1688,['harlequin'],2550587.jpeg
1689,"['brindle', 'orange']",2387418.jpeg
1690,"['extreme harlequin', 'pinstripe', 'white wall', 'drippy']",2263799.jpeg
1691,['tri-color'],2457248.jpeg
1692,"['extreme harlequin', 'tri-color']",2239234.jpeg
1693,"['quad-stripe', 'cream']",2275018.jpeg
1694,"['harlequin', 'red']",2403128.jpeg
1695,"['pinstripe', 'yellow']",2344298.jpeg
1696,"['harlequin', 'red base']",2446306.jpeg
1697,"['tiger', 'red']",2477102.jpeg
1698,['red'],2472712.jpeg
1699,['harlequin'],2548384.jpeg
1700,"['harlequin', 'portholes', 'tri-color']",2472824.jpeg
1701,"['pinstripe', 'yellow']",2388481.jpeg
1702,"['lilly white', '50% het axanthic', 'phantom']",2558853.jpeg
1703,"['dalmatian', 'tri-color']",2321372.jpeg
1704,['partial pinstripe'],2093038.jpeg
1705,"['dalmatian', 'super dalmatian']",2545813.jpeg
1706,"['dalmatian', 'harlequin', 'ink spot', 'portholes']",2434967.jpeg
1707,"['harlequin', 'partial pinstripe']",2369867.jpeg
1708,"['harlequin', 'tri-color']",2395658.jpeg
1709,"['flame', 'portholes', 'fringing', 'pos crowned', 'white tip']",2545949.jpeg
1710,"['extreme harlequin', 'snowflake', 'red', 'soft scale', 'red base']",2358056.jpeg
1711,['tri-color'],2457637.jpeg
1712,['super dalmatian'],2518428.jpeg
1713,"['flame', 'harlequin', 'partial pinstripe', 'red']",2313319.jpeg
1714,"['cream', 'creamsicle']",2445312.jpeg
1715,"['pinstripe', 'red', 'phantom', 'red base']",2395006.jpeg
1716,"['brindle', 'tiger', 'yellow']",2345870.jpeg
1717,"['red', 'white wall', 'tri-color', 'drippy']",2539970.jpeg
1718,"['dark', 'tri-color']",2376959.jpeg
1719,"['pinstripe', 'portholes']",2396790.jpeg
1720,['extreme harlequin'],2501267.jpeg
1721,['harlequin'],2545889.jpeg
1722,['harlequin'],2548417.jpeg
1723,['super dalmatian'],2518406.jpeg
1724,"['tri-color', 'lilly white', 'red base']",2443670.jpeg
1725,"['brindle', 'cream']",2291139.jpeg
1726,"['harlequin', 'white wall', 'red base']",2536505.jpeg
1727,['harlequin'],2457781.jpeg
1728,['super dalmatian'],2264472.jpeg
1729,"['extreme harlequin', 'cream', 'yellow', 'lavender']",2140243.jpeg
1730,['cream'],2539710.jpeg
1731,"['dalmatian', 'red']",2457276.jpeg
1732,"['dalmatian', 'super dalmatian']",2430732.jpeg
1733,['harlequin'],2550321.jpeg
1734,"['harlequin', 'tri-color', 'white tip']",992439.jpeg
1735,"['extreme harlequin', 'cream']",2501470.jpeg
1736,['extreme harlequin'],2396027.jpeg
1737,['tri-color'],2539641.jpeg
1738,"['harlequin', 'pinstripe', 'dark']",2549573.jpeg
1739,"['extreme harlequin', 'harlequin']",2550047.jpeg
1740,"['harlequin', 'pinstripe', 'snowflake', 'fringing', 'kneecaps']",2348564.jpeg
1741,"['brindle', 'portholes', 'yellow']",2176494.jpeg
1742,"['extreme harlequin', 'pinstripe', 'reverse pinstripe']",2413639.jpeg
1743,['dark'],2548453.jpeg
1744,"['dalmatian', 'tailless', 'tiger', 'phantom']",2278746.jpeg
1745,"['flame', 'cream', 'red']",2390576.jpeg
1746,"['pinstripe', 'quad-stripe', 'tailless', 'tangerine', 'tri-color']",2477067.jpeg
1747,['other trait'],2554454.jpeg
1748,['drippy'],2273307.jpeg
1749,"['dalmatian', 'red spot', 'portholes', 'fringing', 'red', 'dark']",2445351.jpeg
1750,"['harlequin', 'cream', 'dark']",2458439.jpeg
1751,['harlequin'],2473904.jpeg
1752,"['harlequin', 'red']",2185237.jpeg
1753,"['extreme harlequin', 'portholes', 'yellow']",2557519.jpeg
1754,"['dalmatian', 'red spot', 'red', 'patternless']",2402179.jpeg
1755,"['brindle', 'tiger', 'red', 'yellow']",2493865.jpeg
1756,"['harlequin', 'quad-stripe', 'cream', 'dark']",2340006.jpeg
1757,"['harlequin', 'lavender', 'drippy']",2185366.jpeg
1758,"['brindle', 'harlequin', 'yellow']",2345879.jpeg
1759,"['extreme harlequin', 'lavender']",2385365.jpeg
1760,"['brindle', 'super dalmatian', 'ink spot', 'het axanthic', 'phantom']",2465813.jpeg
1761,"['harlequin', 'red base']",2387425.jpeg
1762,"['brindle', 'dalmatian', 'super dalmatian', 'tiger', 'ink spot']",2264415.jpeg
1763,['tri-color'],2376968.jpeg
1764,"['chevron', 'dalmatian', 'dark']",2307161.jpeg
1765,"['extreme harlequin', 'pinstripe', 'drippy']",2494716.jpeg
1766,"['lilly white', '50% het axanthic', 'phantom']",2557813.jpeg
1767,"['harlequin', 'pinstripe', 'dark']",2408952.jpeg
1768,"['extreme harlequin', 'harlequin', 'tri-color']",2510763.jpeg
1769,"['harlequin', 'yellow']",2467019.jpeg
1770,"['dalmatian', 'yellow', 'empty back', 'phantom']",2539586.jpeg
1771,"['lilly white', '50% het axanthic', 'phantom']",2558862.jpeg
1772,"['brindle', 'dalmatian', 'yellow']",2409016.jpeg
1773,"['harlequin', 'red base']",2423550.jpeg
1774,"['pinstripe', 'lavender']",2326521.jpeg
1775,['yellow'],2326563.jpeg
1776,"['harlequin', 'tri-color']",2446290.jpeg
1777,['tri-color'],2554531.jpeg
1778,"['harlequin', 'pin-dashed', 'portholes', 'dark']",2423544.jpeg
1779,"['extreme harlequin', 'pinstripe', 'quad-stripe']",2473756.jpeg
1780,"['extreme harlequin', 'cream', 'orange', 'yellow']",2521555.jpeg
1781,"['extreme harlequin', 'dark', 'tri-color']",2437260.jpeg
1782,['tri-color'],2518396.jpeg
1783,['super dalmatian'],2430747.jpeg
1784,"['dalmatian', 'harlequin', 'pinstripe', 'orange']",968946.jpeg
1785,"['harlequin', 'portholes', 'yellow', 'dark']",2553506.jpeg
1786,['harlequin'],2402070.jpeg
1787,"['dalmatian', 'red']",2335136.jpeg
1788,['extreme harlequin'],2218228.jpeg
1789,"['dalmatian', 'harlequin']",2447997.jpeg
1790,['yellow'],2345896.jpeg
1791,['harlequin'],2545009.jpeg
1792,"['harlequin', 'yellow']",2392899.jpeg
1793,"['harlequin', 'tri-color', 'red base']",2387000.jpeg
1794,['harlequin'],2134593.jpeg
1795,['tri-color'],2539747.jpeg
1796,['dalmatian'],2405998.jpeg
1797,['brindle'],2510917.jpeg
1798,['harlequin'],2446316.jpeg
1799,"['partial pinstripe', 'red']",2408827.jpeg
1800,"['harlequin', 'dark']",2437069.jpeg
1801,"['orange', 'tri-color']",2559967.jpeg
1802,['red'],2518349.jpeg
1803,['harlequin'],2324591.jpeg
1804,"['extreme harlequin', 'tri-color']",2518238.jpeg
1805,['partial pinstripe'],2359036.jpeg
1806,"['flame', 'portholes', 'red']",2234916.jpeg
1807,"['dalmatian', 'portholes', 'red', 'phantom']",2553138.jpeg
1808,"['pinstripe', 'pos quad-stripe', 'red']",1920662.jpeg
1809,"['brindle', 'flame', 'yellow']",2161594.jpeg
1810,"['harlequin', 'dark', 'tri-color']",2354555.jpeg
1811,['extreme harlequin'],2501434.jpeg
1812,['harlequin'],2492673.jpeg
1813,"['dalmatian', 'harlequin']",2365833.jpeg
1814,"['harlequin', 'red base']",2506251.jpeg
1815,"['dalmatian', 'pos super dalmatian', 'red spot', 'red']",2510782.jpeg
1816,"['brindle', 'dalmatian']",2325691.jpeg
1817,"['partial pinstripe', 'red spot', 'portholes', 'red', 'phantom']",2394992.jpeg
1818,"['brindle', 'cream']",2291125.jpeg
1819,"['pinstripe', 'reverse pinstripe', 'yellow']",2134635.jpeg
1820,"['cream', 'dark']",2396917.jpeg
1821,['red base'],2216631.jpeg
1822,"['portholes', 'red base']",2502042.jpeg
1823,"['extreme harlequin', 'harlequin', 'orange']",2555420.jpeg
1824,['flame'],2396804.jpeg
1825,"['dalmatian', 'harlequin', 'tiger', 'lavender', 'tri-color']",2475786.jpeg
1826,"['dalmatian', 'patternless']",2329417.jpeg
1827,"['harlequin', 'dark']",2526616.jpeg
1828,"['solid back', 'white wall', 'tri-color']",2501368.jpeg
1829,"['partial pinstripe', 'peppered', 'portholes', 'fringing', 'kneecaps', 'lavender', 'tri-color']",2545518.jpeg
1830,"['dalmatian', 'red', 'yellow']",2331730.jpeg
1831,"['dalmatian', 'super dalmatian', 'red spot', 'red base']",2366150.jpeg
1832,"['partial pinstripe', 'portholes', 'fringing']",1571663.jpeg
1833,['flame'],2312657.jpeg
1834,"['extreme harlequin', 'cream']",2354719.jpeg
1835,"['dalmatian', 'harlequin']",2257323.jpeg
1836,"['pinstripe', 'red', 'phantom']",2510581.jpeg
1837,"['harlequin', 'tri-color']",2407899.jpeg
1838,['tri-color'],2354668.jpeg
1839,"['pinstripe', 'dark']",2224289.jpeg
1840,"['dalmatian', 'yellow', 'phantom']",2512126.jpeg
1841,['dalmatian'],2312633.jpeg
1842,['dalmatian'],2207369.jpeg
1843,['axanthic'],2333063.jpeg
1844,"['harlequin', 'quad-stripe', 'reverse pinstripe']",2437656.jpeg
1845,"['dalmatian', 'harlequin', 'ink spot']",1761760.jpeg
1846,['dalmatian'],1761726.jpeg
1847,['harlequin'],2111741.jpeg
1848,['extreme harlequin'],2328081.jpeg
1849,"['dalmatian', 'super dalmatian', 'cluster spots', 'olive']",2691048.jpeg
1850,['harlequin'],2328073.jpeg
1851,"['reverse pinstripe', 'yellow', 'phantom']",2260453.jpeg
1852,['brindle'],2690974.jpeg
1853,['dalmatian'],2690954.jpeg
1854,['harlequin'],2690948.jpeg
1855,"['dalmatian', 'super dalmatian']",2560061.jpeg
1856,"['pinstripe', 'quad-stripe']",2560053.jpeg
1857,"['super dalmatian', 'pos super dalmatian', 'ink spot', 'red spot']",2560050.jpeg
1858,"['super dalmatian', 'pos super dalmatian', 'tiger', 'ink spot', 'red spot']",2560045.jpeg
1859,['partial pinstripe'],2560043.jpeg
1860,"['dalmatian', 'super dalmatian', 'pos super dalmatian', 'tiger', 'ink spot']",2560036.jpeg
1861,"['brindle', 'harlequin', 'cream', 'dark', 'tri-color']",2000359.jpeg
1862,"['pinstripe', 'snowflake', 'white wall', 'tri-color']",2224104.jpeg
1863,"['dalmatian', 'extreme harlequin', 'snowflake', 'tri-color']",2224151.jpeg
1864,['super dalmatian'],2559997.jpeg
1865,"['quad-stripe', 'yellow', 'white wall', 'drippy']",2249064.jpeg
1866,"['harlequin', 'partial pinstripe']",2327942.jpeg
1867,"['dalmatian', 'extreme harlequin']",2224128.jpeg
1868,"['partial pinstripe', 'yellow']",2327994.jpeg
1869,['extreme harlequin'],2224094.jpeg
1870,['red'],2690905.jpeg
1871,"['harlequin', 'partial pinstripe']",1611809.jpeg
1872,['extreme harlequin'],1614594.jpeg
1873,"['harlequin', 'partial pinstripe']",2395947.jpeg
1874,"['harlequin', 'dark']",2395976.jpeg
1875,"['harlequin', 'pinstripe', 'tri-color']",2395940.jpeg
1876,"['dalmatian', 'harlequin']",2395962.jpeg
1877,"['harlequin', 'dark', 'drippy']",2395954.jpeg
1878,"['harlequin', 'partial pinstripe', 'tri-color']",2395951.jpeg
1879,"['dalmatian', 'harlequin', 'partial pinstripe']",2395956.jpeg
1880,['harlequin'],2395966.jpeg
1881,"['extreme harlequin', 'harlequin', 'orange']",2690897.jpeg
1882,"['extreme harlequin', 'harlequin', 'orange']",2690891.jpeg
1883,"['extreme harlequin', 'lavender']",2690886.jpeg
1884,"['pinstripe', 'quad-stripe', 'yellow']",2534471.jpeg
1885,"['pinstripe', 'lavender']",2690882.jpeg
1886,"['pinstripe', 'lavender']",2690875.jpeg
1887,"['pinstripe', 'lavender']",2690872.jpeg
1888,"['portholes', 'red']",2559329.jpeg
1889,['lavender'],2690812.jpeg
1890,"['pinstripe', 'lavender']",2690803.jpeg
1891,['harlequin'],2690793.jpeg
1892,"['dalmatian', 'super dalmatian', 'ink spot']",2626892.jpeg
1893,"['pinstripe', 'quad-stripe', 'dark']",2327911.jpeg
1894,"['pinstripe', 'quad-stripe']",2367184.jpeg
1895,"['dalmatian', 'red spot', 'portholes', 'red base']",2626721.jpeg
1896,"['red', 'lilly white', 'phantom']",2626708.jpeg
1897,"['extreme harlequin', 'red', 'dark']",1694231.jpeg
1898,"['extreme harlequin', 'flame']",2633467.jpeg
1899,"['dalmatian', 'super dalmatian', 'ink spot', 'red spot', 'red base']",2131286.jpeg
1900,['extreme harlequin'],2492037.jpeg
1901,"['harlequin', 'cream', 'orange']",2605181.jpeg
1902,"['red', 'phantom', 'red base']",2626568.jpeg
1903,"['fringing', 'black', 'dark']",2626566.jpeg
1904,"['lilly white', 'phantom', 'red base']",2626554.jpeg
1905,"['extreme harlequin', 'pos extreme harlequin', 'portholes', 'dark', 'drippy']",2131304.jpeg
1906,"['extreme harlequin', 'lavender']",2690446.jpeg
1907,"['brindle', 'harlequin', 'cream', 'dark', 'tri-color']",2690419.jpeg
1908,['harlequin'],2625752.jpeg
1909,['extreme harlequin'],2625697.jpeg
1910,"['black', 'dark']",2626475.jpeg
1911,"['bold stripe tigers', 'dalmatian', 'tiger', 'portholes', 'dark']",2690369.jpeg
1912,"['pinstripe', 'tiger', 'yellow']",2574540.jpeg
1913,['dalmatian'],2640285.jpeg
1914,"['ink spot', 'oil spot']",2558798.jpeg
1915,['dalmatian'],2640278.jpeg
1916,"['harlequin', 'pinstripe', 'red']",2640275.jpeg
1917,"['pin-dashed', 'tiger', 'orange', 'yellow']",2574520.jpeg
1918,"['harlequin', 'super stripe']",2640265.jpeg
1919,['patternless'],2640258.jpeg
1920,"['dalmatian', 'harlequin', 'cream', 'dark']",2690268.jpeg
1921,"['dalmatian', 'portholes', 'fringing', 'kneecaps', 'orange']",2574501.jpeg
1922,['tri-color'],2362021.jpeg
1923,"['harlequin', 'dark']",2626167.jpeg
1924,"['dalmatian', 'harlequin', 'pinstripe', 'quad-stripe', 'dark']",2626157.jpeg
1925,"['harlequin', 'partial pinstripe', 'pinstripe', 'quad-stripe', 'dark']",2626145.jpeg
1926,"['pinstripe', 'portholes', 'yellow', 'phantom']",2690022.jpeg
1927,"['harlequin', 'pinstripe', 'portholes']",2626131.jpeg
1928,"['dalmatian', 'harlequin']",2626124.jpeg
1929,"['harlequin', 'partial pinstripe', 'pinstripe', 'quad-stripe']",2626118.jpeg
1930,"['white wall', 'tri-color', 'white tip']",2689989.jpeg
1931,"['partial pinstripe', 'pinstripe', 'white wall', 'phantom']",2626112.jpeg
1932,"['harlequin', 'tri-color']",2689964.jpeg
1933,"['pinstripe', 'orange']",2689957.jpeg
1934,['harlequin'],2626087.jpeg
1935,"['harlequin', 'partial pinstripe', 'pinstripe', 'portholes']",2626071.jpeg
1936,"['dalmatian', 'portholes', 'red', 'phantom']",1996414.jpeg
1937,"['pinstripe', 'drippy']",2689922.jpeg
1938,"['extreme harlequin', 'pinstripe', 'snowflake', 'cream']",2689893.jpeg
1939,"['bold stripe tigers', 'tiger', 'portholes', 'dark']",2689891.jpeg
1940,"['harlequin', 'tri-color']",2689874.jpeg
1941,"['pinstripe', 'tri-color', 'white tip']",2689865.jpeg
1942,"['harlequin', 'partial pinstripe', 'cream', 'dark']",2689858.jpeg
1943,"['dalmatian', 'pin-dashed', 'dark']",2689848.jpeg
1944,"['harlequin', 'pinstripe', 'red base']",2410341.jpeg
1945,"['harlequin', 'pinstripe', 'cream']",2410304.jpeg
1946,"['dalmatian', 'yellow']",2437671.jpeg
1947,"['dalmatian', 'harlequin']",2410272.jpeg
1948,"['partial pinstripe', 'dark', 'white wall', 'tri-color']",2574141.jpeg
1949,"['dalmatian', 'harlequin', 'pinstripe', 'cream']",2410252.jpeg
1950,"['yellow', 'phantom']",2689701.jpeg
1951,['partial pinstripe'],2275015.jpeg
1952,"['pinstripe', 'tri-color']",1805346.jpeg
1953,"['extreme harlequin', 'harlequin', 'tri-color']",2318771.jpeg
1954,"['harlequin', 'tri-color']",2689472.jpeg
1955,"['extreme harlequin', 'pinstripe', 'orange', 'dark', 'tri-color']",2689460.jpeg
1956,['harlequin'],2410032.jpeg
1957,"['bold stripe tigers', 'super dalmatian', 'tiger', 'ink spot', '50% het axanthic', 'phantom']",2689430.jpeg
1958,"['pinstripe', 'lavender']",2689412.jpeg
1959,['tri-color'],2509967.jpeg
1960,['harlequin'],2410001.jpeg
1961,"['extreme harlequin', 'harlequin', 'pinstripe', 'snowflake', 'tri-color']",2196951.jpeg
1962,"['extreme harlequin', 'harlequin', 'snowflake', 'pos lavender', 'drippy']",2196997.jpeg
1963,"['pinstripe', 'halloween']",2409992.jpeg
1964,['tri-color'],2509946.jpeg
1965,['harlequin'],2409979.jpeg
1966,"['yellow', 'het axanthic', 'red base']",2409941.jpeg
1967,"['harlequin', 'pos het phantom', 'portholes']",2689268.jpeg
1968,['harlequin'],2409925.jpeg
1969,"['dalmatian', 'tiger', 'yellow']",2509926.jpeg
1970,"['dalmatian', 'orange']",2455604.jpeg
1971,['harlequin'],2509900.jpeg
1972,"['dalmatian', 'ink spot']",2455568.jpeg
1973,"['pinstripe', 'tri-color', 'red base']",2625492.jpeg
1974,"['harlequin', 'partial pinstripe', 'dark']",2532982.jpeg
1975,"['pinstripe', 'orange']",1754053.jpeg
1976,['super dalmatian'],1754083.jpeg
1977,"['dalmatian', 'ink spot', 'portholes']",2455431.jpeg
1978,"['red', 'phantom']",2688835.jpeg
1979,"['extreme harlequin', 'harlequin']",2193960.jpeg
1980,"['dalmatian', 'super dalmatian']",2509663.jpeg
1981,"['dalmatian', 'super dalmatian']",2509650.jpeg
1982,"['dalmatian', 'super dalmatian', 'ink spot']",2455386.jpeg
1983,"['extreme harlequin', 'harlequin', 'orange', 'creamsicle']",2437029.jpeg
1984,"['dalmatian', 'yellow', 'phantom']",2398748.jpeg
