,Color,Traits,Image Name
855,"['cream', 'dark']",['harlequin'],2458439.jpeg
856,['red'],['harlequin'],2185237.jpeg
857,['yellow'],"['extreme harlequin', 'portholes']",2557519.jpeg
858,['red'],"['dalmatian', 'red spot', 'patternless']",2402179.jpeg
859,"['red', 'yellow']","['brindle', 'tiger']",2493865.jpeg
860,"['cream', 'dark']","['harlequin', 'quad-stripe']",2340006.jpeg
861,['lavender'],"['harlequin', 'drippy']",2185366.jpeg
862,['yellow'],"['brindle', 'harlequin']",2345879.jpeg
863,['lavender'],['extreme harlequin'],2385365.jpeg
864,['red'],['harlequin'],2387425.jpeg
865,['dark'],"['chevron', 'dalmatian']",2307161.jpeg
866,['dark'],"['harlequin', 'pinstripe']",2408952.jpeg
867,['yellow'],['harlequin'],2467019.jpeg
868,['yellow'],"['dalmatian', 'empty back', 'phantom']",2539586.jpeg
869,['yellow'],"['brindle', 'dalmatian']",2409016.jpeg
870,['red'],['harlequin'],2423550.jpeg
871,['lavender'],['pinstripe'],2326521.jpeg
872,['yellow'],[],2326563.jpeg
873,['dark'],"['harlequin', 'pin-dashed', 'portholes']",2423544.jpeg
874,"['cream', 'red', 'yellow']",['extreme harlequin'],2521555.jpeg
875,['dark'],"['extreme harlequin', 'tri-color']",2437260.jpeg
876,['red'],"['dalmatian', 'harlequin', 'pinstripe']",968946.jpeg
877,"['dark', 'yellow']","['harlequin', 'portholes']",2553506.jpeg
878,['red'],['dalmatian'],2335136.jpeg
879,['yellow'],[],2345896.jpeg
880,['yellow'],['harlequin'],2392899.jpeg
881,['red'],"['harlequin', 'tri-color']",2387000.jpeg
882,['red'],['partial pinstripe'],2408827.jpeg
883,['dark'],['harlequin'],2437069.jpeg
884,['red'],['tri-color'],2559967.jpeg
885,['red'],[],2518349.jpeg
886,['red'],"['flame', 'portholes']",2234916.jpeg
887,['red'],"['dalmatian', 'portholes', 'phantom']",2553138.jpeg
888,['red'],"['pinstripe', 'pos quad-stripe']",1920662.jpeg
889,['yellow'],"['brindle', 'flame']",2161594.jpeg
890,['dark'],"['harlequin', 'tri-color']",2354555.jpeg
891,['red'],['harlequin'],2506251.jpeg
892,['red'],"['dalmatian', 'pos super dalmatian', 'red spot']",2510782.jpeg
893,['red'],"['partial pinstripe', 'red spot', 'portholes', 'phantom']",2394992.jpeg
894,['cream'],['brindle'],2291125.jpeg
895,['yellow'],"['pinstripe', 'reverse pinstripe']",2134635.jpeg
896,"['cream', 'dark']",[],2396917.jpeg
897,['red'],[],2216631.jpeg
898,['red'],['portholes'],2502042.jpeg
899,['red'],"['extreme harlequin', 'harlequin']",2555420.jpeg
900,['lavender'],"['dalmatian', 'harlequin', 'tiger', 'tri-color']",2475786.jpeg
901,['dark'],['harlequin'],2526616.jpeg
902,['lavender'],"['partial pinstripe', 'peppered', 'portholes', 'fringing', 'kneecaps', 'tri-color']",2545518.jpeg
903,"['red', 'yellow']",['dalmatian'],2331730.jpeg
904,['red'],"['dalmatian', 'super dalmatian', 'red spot']",2366150.jpeg
905,['cream'],['extreme harlequin'],2354719.jpeg
906,['red'],"['pinstripe', 'phantom']",2510581.jpeg
907,['dark'],['pinstripe'],2224289.jpeg
908,['yellow'],"['dalmatian', 'phantom']",2512126.jpeg
909,['olive'],"['dalmatian', 'super dalmatian', 'cluster spots']",2691048.jpeg
910,['yellow'],"['reverse pinstripe', 'phantom']",2260453.jpeg
911,"['cream', 'dark']","['brindle', 'harlequin', 'tri-color']",2000359.jpeg
912,['yellow'],"['quad-stripe', 'white wall', 'drippy']",2249064.jpeg
913,['yellow'],['partial pinstripe'],2327994.jpeg
914,['red'],[],2690905.jpeg
915,['dark'],['harlequin'],2395976.jpeg
916,['dark'],"['harlequin', 'drippy']",2395954.jpeg
917,['red'],"['extreme harlequin', 'harlequin']",2690897.jpeg
918,['red'],"['extreme harlequin', 'harlequin']",2690891.jpeg
919,['lavender'],['extreme harlequin'],2690886.jpeg
920,['yellow'],"['pinstripe', 'quad-stripe']",2534471.jpeg
921,['lavender'],['pinstripe'],2690882.jpeg
922,['lavender'],['pinstripe'],2690875.jpeg
923,['lavender'],['pinstripe'],2690872.jpeg
924,['red'],['portholes'],2559329.jpeg
925,['lavender'],[],2690812.jpeg
926,['lavender'],['pinstripe'],2690803.jpeg
927,['dark'],"['pinstripe', 'quad-stripe']",2327911.jpeg
928,['red'],"['dalmatian', 'red spot', 'portholes']",2626721.jpeg
929,['red'],"['lilly white', 'phantom']",2626708.jpeg
930,"['dark', 'red']",['extreme harlequin'],1694231.jpeg
931,['red'],"['dalmatian', 'super dalmatian', 'ink spot', 'red spot']",2131286.jpeg
932,"['cream', 'red']",['harlequin'],2605181.jpeg
933,['red'],['phantom'],2626568.jpeg
934,['dark'],['fringing'],2626566.jpeg
935,['red'],"['lilly white', 'phantom']",2626554.jpeg
936,['dark'],"['extreme harlequin', 'pos extreme harlequin', 'portholes', 'drippy']",2131304.jpeg
937,['lavender'],['extreme harlequin'],2690446.jpeg
938,"['cream', 'dark']","['brindle', 'harlequin', 'tri-color']",2690419.jpeg
939,['dark'],[],2626475.jpeg
940,['dark'],"['bold stripe tigers', 'dalmatian', 'tiger', 'portholes']",2690369.jpeg
941,['yellow'],"['pinstripe', 'tiger']",2574540.jpeg
942,['red'],"['harlequin', 'pinstripe']",2640275.jpeg
943,"['red', 'yellow']","['pin-dashed', 'tiger']",2574520.jpeg
944,"['cream', 'dark']","['dalmatian', 'harlequin']",2690268.jpeg
945,['red'],"['dalmatian', 'portholes', 'fringing', 'kneecaps']",2574501.jpeg
946,['dark'],['harlequin'],2626167.jpeg
947,['dark'],"['dalmatian', 'harlequin', 'pinstripe', 'quad-stripe']",2626157.jpeg
948,['dark'],"['harlequin', 'partial pinstripe', 'pinstripe', 'quad-stripe']",2626145.jpeg
949,['yellow'],"['pinstripe', 'portholes', 'phantom']",2690022.jpeg
950,['red'],['pinstripe'],2689957.jpeg
951,['red'],"['dalmatian', 'portholes', 'phantom']",1996414.jpeg
952,['cream'],"['extreme harlequin', 'pinstripe', 'snowflake']",2689893.jpeg
953,['dark'],"['bold stripe tigers', 'tiger', 'portholes']",2689891.jpeg
954,"['cream', 'dark']","['harlequin', 'partial pinstripe']",2689858.jpeg
955,['dark'],"['dalmatian', 'pin-dashed']",2689848.jpeg
956,['red'],"['harlequin', 'pinstripe']",2410341.jpeg
957,['cream'],"['harlequin', 'pinstripe']",2410304.jpeg
958,['yellow'],['dalmatian'],2437671.jpeg
959,['dark'],"['partial pinstripe', 'white wall', 'tri-color']",2574141.jpeg
960,['cream'],"['dalmatian', 'harlequin', 'pinstripe']",2410252.jpeg
961,['yellow'],['phantom'],2689701.jpeg
962,"['dark', 'red']","['extreme harlequin', 'pinstripe', 'tri-color']",2689460.jpeg
963,['lavender'],['pinstripe'],2689412.jpeg
964,['dark'],['pinstripe'],2409992.jpeg
965,"['red', 'yellow']",['het axanthic'],2409941.jpeg
966,['yellow'],"['dalmatian', 'tiger']",2509926.jpeg
967,['red'],['dalmatian'],2455604.jpeg
968,['red'],"['pinstripe', 'tri-color']",2625492.jpeg
969,['dark'],"['harlequin', 'partial pinstripe']",2532982.jpeg
970,['red'],['pinstripe'],1754053.jpeg
971,['red'],['phantom'],2688835.jpeg
972,['red'],"['extreme harlequin', 'harlequin', 'creamsicle']",2437029.jpeg
973,['yellow'],"['dalmatian', 'phantom']",2398748.jpeg
974,['dark'],[],2573449.jpeg
975,['dark'],[],2573438.jpeg
976,['red'],"['dalmatian', 'ink spot']",2411840.jpeg
977,['red'],['pinstripe'],2259745.jpeg
978,"['cream', 'red']",[],2535480.jpeg
979,['red'],[],2474928.jpeg
980,['red'],['pinstripe'],2222564.jpeg
981,['red'],['partial pinstripe'],2246660.jpeg
982,['cream'],"['harlequin', 'pinstripe', 'snowflake']",2625249.jpeg
983,['yellow'],"['dalmatian', 'pinstripe']",2625241.jpeg
984,['red'],"['portholes', 'het axanthic', 'phantom']",2573411.jpeg
985,['red'],['brindle'],2625236.jpeg
986,['red'],"['soft scale', 'phantom']",2573403.jpeg
987,['red'],[],2222431.jpeg
988,"['cream', 'dark']","['harlequin', 'pinstripe']",2212543.jpeg
989,"['cream', 'dark']","['harlequin', 'pinstripe']",2212370.jpeg
990,"['cream', 'dark', 'lavender']","['pinstripe', 'drippy']",2431812.jpeg
991,['dark'],['harlequin'],2625052.jpeg
992,['red'],"['dalmatian', 'pinstripe']",1751738.jpeg
993,['yellow'],"['pinstripe', 'phantom']",1751726.jpeg
994,"['cream', 'dark']",['harlequin'],2366137.jpeg
995,['red'],"['lilly white', '50% het axanthic']",1430183.jpeg
996,['dark'],"['harlequin', 'kneecaps', 'tangerine']",2454896.jpeg
997,['yellow'],"['dalmatian', 'tiger']",2454893.jpeg
998,"['red', 'yellow']","['dalmatian', 'ink spot']",2454882.jpeg
999,['yellow'],['dalmatian'],2454872.jpeg
1000,['red'],['tri-color'],2688201.jpeg
1001,['red'],"['extreme harlequin', 'pinstripe', 'quad-stripe']",2603003.jpeg
1002,['dark'],"['dalmatian', 'harlequin', 'quad-stripe', 'tangerine']",2454833.jpeg
1003,['red'],['extreme harlequin'],2554106.jpeg
1004,['cream'],['flame'],2554084.jpeg
1005,['dark'],"['pos dalmatian', 'extreme harlequin', 'tri-color']",2688125.jpeg
1006,['red'],"['extreme harlequin', 'partial pinstripe', 'tri-color']",2688112.jpeg
1007,['red'],"['extreme harlequin', 'tri-color']",2688106.jpeg
1008,['red'],['extreme harlequin'],2688100.jpeg
1009,"['cream', 'red']","['brindle', 'dalmatian', 'harlequin']",2688064.jpeg
1010,['dark'],['harlequin'],2688063.jpeg
1011,['dark'],"['harlequin', 'pinstripe', 'drippy']",2688017.jpeg
1012,['red'],"['pinstripe', 'phantom']",2688008.jpeg
1013,['red'],['harlequin'],2688000.jpeg
1014,['yellow'],"['extreme harlequin', 'super dalmatian']",2687859.jpeg
1015,['red'],"['portholes', 'bi-color']",2687804.jpeg
1016,['dark'],"['white wall', 'tri-color']",2624309.jpeg
1017,['yellow'],['phantom'],2687631.jpeg
1018,['dark'],"['harlequin', 'pinstripe', 'quad-stripe']",2049339.jpeg
1019,['dark'],"['harlequin', 'pinstripe', 'quad-stripe']",1989383.jpeg
1020,['dark'],"['harlequin', 'pinstripe', 'portholes']",1989380.jpeg
1021,['dark'],"['harlequin', 'pinstripe']",2265349.jpeg
1022,['dark'],"['harlequin', 'pinstripe', 'quad-stripe']",2265356.jpeg
1023,['cream'],"['harlequin', 'pinstripe']",1989388.jpeg
1024,['dark'],"['harlequin', 'pinstripe']",2049351.jpeg
1025,['dark'],"['harlequin', 'pinstripe', 'portholes']",2260202.jpeg
1026,['dark'],"['harlequin', 'pinstripe', 'quad-stripe']",2049317.jpeg
1027,['dark'],"['harlequin', 'pinstripe', 'quad-stripe']",2262030.jpeg
1028,['dark'],"['harlequin', 'pinstripe', 'portholes']",2260169.jpeg
1029,['dark'],"['harlequin', 'pinstripe']",1985014.jpeg
1030,['dark'],"['harlequin', 'pinstripe', 'portholes']",1544287.jpeg
1031,['dark'],"['harlequin', 'pinstripe', 'portholes']",2049323.jpeg
1032,['dark'],"['flame', 'harlequin', 'portholes']",1661722.jpeg
1033,['dark'],"['harlequin', 'pinstripe']",2049346.jpeg
1034,['dark'],"['dalmatian', 'harlequin', 'pinstripe']",1984983.jpeg
1035,['dark'],"['harlequin', 'pinstripe']",2262032.jpeg
1036,['dark'],"['harlequin', 'partial pinstripe']",2262039.jpeg
1037,['dark'],"['harlequin', 'pinstripe']",2049331.jpeg
1038,['dark'],"['harlequin', 'pinstripe', 'portholes']",2265351.jpeg
1039,['dark'],"['harlequin', 'pinstripe']",2049342.jpeg
1040,"['dark', 'red']",['tri-color'],2624237.jpeg
1041,"['dark', 'red']","['extreme harlequin', 'harlequin', 'tri-color']",2624236.jpeg
1042,['dark'],"['phantom', 'patternless']",1754572.jpeg
1043,['red'],"['super dalmatian', 'red spot']",2454255.jpeg
1044,['red'],[],2624121.jpeg
1045,['red'],"['super dalmatian', 'ink spot', 'red spot']",2454220.jpeg
1046,['red'],[],2624099.jpeg
1047,['dark'],['harlequin'],2316595.jpeg
1048,['red'],[],2315405.jpeg
1049,['yellow'],"['extreme harlequin', 'drippy']",2025459.jpeg
1050,['olive'],['patternless'],2571987.jpeg
1051,['red'],['dalmatian'],2571979.jpeg
1052,['dark'],"['extreme harlequin', 'harlequin', 'pos harlequin', 'kneecaps']",2454029.jpeg
1053,['red'],['dalmatian'],2571923.jpeg
1054,['red'],"['flame', 'tiger']",2454005.jpeg
1055,['red'],"['snowflake', 'portholes', 'fringing', 'kneecaps', 'phantom']",2365471.jpeg
1056,['yellow'],['extreme harlequin'],2365467.jpeg
1057,['yellow'],"['extreme harlequin', 'fringing', 'kneecaps']",2365463.jpeg
1058,['yellow'],['extreme harlequin'],2365460.jpeg
1059,['yellow'],"['extreme harlequin', 'fringing', 'kneecaps']",2365456.jpeg
1060,['yellow'],['extreme harlequin'],2365454.jpeg
1061,['dark'],['pinstripe'],2630234.jpeg
1062,['yellow'],"['extreme harlequin', 'fringing', 'kneecaps']",2365426.jpeg
1063,['yellow'],"['extreme harlequin', 'fringing', 'tri-color']",2365405.jpeg
1064,['dark'],['harlequin'],2623588.jpeg
1065,['yellow'],[],2548865.jpeg
1066,['red'],['extreme harlequin'],2530591.jpeg
1067,['yellow'],"['harlequin', 'tiger']",2629935.jpeg
1068,['red'],['harlequin'],2623433.jpeg
1069,['red'],['harlequin'],2112491.jpeg
1070,['yellow'],"['dalmatian', 'pinstripe', 'phantom']",2629825.jpeg
1071,['yellow'],"['bold stripe tigers', 'tiger']",2636680.jpeg
1072,['red'],['super dalmatian'],2629811.jpeg
1073,['red'],"['dalmatian', 'red spot', 'cluster spots']",2629789.jpeg
1074,['red'],['phantom'],2587730.jpeg
1075,['lavender'],['harlequin'],2587765.jpeg
1076,"['red', 'yellow']","['dalmatian', 'ink spot']",2686386.jpeg
1077,['dark'],"['pinstripe', 'tangerine']",2686366.jpeg
1078,['yellow'],"['pinstripe', 'fringing']",2686343.jpeg
1079,['yellow'],"['extreme harlequin', 'fringing', 'kneecaps', 'tri-color']",2365038.jpeg
1080,['yellow'],"['extreme harlequin', 'reverse pinstripe']",2365029.jpeg
1081,['yellow'],"['extreme harlequin', 'fringing', 'kneecaps', 'tri-color']",2365009.jpeg
1082,['red'],"['portholes', 'phantom']",2308838.jpeg
1083,['red'],"['dalmatian', 'flame']",2507373.jpeg
1084,"['cream', 'dark']",['harlequin'],2530145.jpeg
1085,['dark'],"['extreme harlequin', 'portholes']",2375215.jpeg
1086,['lavender'],['white out'],2459090.jpeg
1087,"['cream', 'dark']","['harlequin', 'tangerine', 'tri-color']",2458923.jpeg
1088,['red'],"['dalmatian', 'super dalmatian', 'red spot', 'portholes']",2459332.jpeg
1089,['red'],"['harlequin', 'pinstripe']",1715600.jpeg
1090,['red'],"['harlequin', 'partial pinstripe']",1715603.jpeg
1091,['yellow'],"['harlequin', 'pinstripe']",1715633.jpeg
1092,['yellow'],['harlequin'],1715675.jpeg
1093,['red'],"['harlequin', 'partial pinstripe']",1715684.jpeg
1094,['red'],"['harlequin', 'partial pinstripe']",1715689.jpeg
1095,['yellow'],"['pinstripe', 'tiger', 'phantom']",1391567.jpeg
1096,['yellow'],['harlequin'],2364859.jpeg
1097,['red'],['patternless'],1566130.jpeg
1098,['red'],['lilly white'],2545129.jpeg
1099,['dark'],['snowflake'],2585745.jpeg
1100,['red'],"['pinstripe', 'fringing', 'kneecaps']",1937566.jpeg
1101,['cream'],"['crowned', 'white wall', 'tri-color']",2251401.jpeg
1102,"['red', 'yellow']",['tri-color'],2251484.jpeg
1103,['dark'],"['portholes', 'buckskin', 'phantom']",2370846.jpeg
1104,['red'],['cappuccino'],2622160.jpeg
1105,"['cream', 'dark']","['harlequin', 'pinstripe']",2529934.jpeg
1106,['red'],"['dalmatian', 'patternless']",1566076.jpeg
1107,['red'],['bi-color'],1566060.jpeg
1108,['red'],['flame'],2622758.jpeg
1109,"['lavender', 'red']","['extreme harlequin', 'harlequin', 'tangerine', 'tri-color']",2336767.jpeg
1110,['yellow'],[],2555127.jpeg
1111,['yellow'],"['harlequin', 'ink spot']",2629230.jpeg
1112,['yellow'],"['dalmatian', 'pinstripe']",2629225.jpeg
1113,"['red', 'yellow']","['harlequin', 'kneecaps']",2629220.jpeg
1114,['dark'],['harlequin'],2629216.jpeg
1115,['dark'],"['dalmatian', 'harlequin', 'pinstripe', 'portholes', 'kneecaps']",2629214.jpeg
1116,['dark'],['harlequin'],2629201.jpeg
1117,['red'],"['dalmatian', 'quad-stripe', 'kneecaps']",2629198.jpeg
1118,"['cream', 'dark']",['harlequin'],2629193.jpeg
1119,['red'],"['pinstripe', 'kneecaps', 'bi-color', 'phantom']",2685366.jpeg
1120,['yellow'],"['dalmatian', 'super dalmatian', 'ink spot', 'red spot']",2685360.jpeg
1121,['red'],['extreme harlequin'],2364502.jpeg
1122,['dark'],['pinstripe'],2600703.jpeg
1123,['red'],['phantom'],2685314.jpeg
1124,"['dark', 'red']","['super dalmatian', 'portholes']",2138907.jpeg
1125,['red'],['tri-color'],1913219.jpeg
1126,"['cream', 'yellow']","['harlequin', 'pinstripe']",2554998.jpeg
1127,"['cream', 'red']","['harlequin', 'pinstripe', 'blushing']",2622486.jpeg
1128,"['dark', 'red']","['portholes', 'phantom']",2622471.jpeg
1129,"['dark', 'red']",['portholes'],2622465.jpeg
1130,['lavender'],"['extreme harlequin', 'flame', 'tri-color']",2622458.jpeg
1131,['lavender'],"['dalmatian', 'harlequin']",2685236.jpeg
1132,['lavender'],"['harlequin', 'tiger']",2685233.jpeg
1133,['red'],"['white out', 'soft scale', 'phantom']",2584906.jpeg
1134,['lavender'],"['harlequin', 'drippy']",2404773.jpeg
1135,"['cream', 'dark']","['pinstripe', 'drippy']",2619259.jpeg
1136,['cream'],"['extreme harlequin', 'harlequin', 'snowflake', 'tri-color', 'drippy']",2404437.jpeg
1137,['cream'],"['extreme harlequin', 'harlequin', 'pinstripe', 'snowflake', 'portholes', 'drippy']",2244287.jpeg
1138,['red'],"['dalmatian', 'super dalmatian', 'ink spot', 'red spot', 'portholes']",2584863.jpeg
1139,['red'],"['dalmatian', 'super dalmatian', 'red spot', 'portholes']",2584852.jpeg
1140,['red'],"['dalmatian', 'super dalmatian', 'ink spot', 'red spot', 'portholes']",2584844.jpeg
1141,['red'],[],2584816.jpeg
1142,['red'],['pinstripe'],2685152.jpeg
1143,['dark'],"['extreme harlequin', 'pinstripe', 'tri-color', 'drippy']",2685084.jpeg
1144,['yellow'],"['dalmatian', 'super dalmatian']",2364265.jpeg
1145,['red'],"['harlequin', 'tri-color']",2549103.jpeg
1146,['red'],"['lilly white', 'phantom']",2685001.jpeg
1147,['dark'],"['pinstripe', 'quad-stripe']",2569318.jpeg
1148,['dark'],"['fringing', 'kneecaps', 'white wall', 'tri-color', 'empty back', 'white tip']",2569398.jpeg
1149,['dark'],"['pinstripe', 'quad-stripe', 'fringing', 'kneecaps', 'crowned', 'empty back', 'white tip']",2569378.jpeg
1150,['yellow'],"['pinstripe', 'reverse pinstripe', 'fringing', 'kneecaps']",2569427.jpeg
1151,['dark'],"['pinstripe', 'fringing', 'kneecaps', 'crowned', 'tri-color', 'drippy']",2569481.jpeg
1152,['lavender'],['tri-color'],2684873.jpeg
1153,['dark'],['tri-color'],1534286.jpeg
1154,"['cream', 'dark']",['harlequin'],2248145.jpeg
1155,['dark'],[],1534180.jpeg
1156,['red'],"['harlequin', 'partial pinstripe', 'tri-color']",2406541.jpeg
1157,['red'],"['partial pinstripe', 'portholes', 'phantom']",2569343.jpeg
1158,['dark'],[],2475420.jpeg
1159,['yellow'],"['dalmatian', 'red spot', 'portholes', 'phantom']",2642342.jpeg
1160,['lavender'],[],2236487.jpeg
1161,['red'],"['super dalmatian', 'red spot']",2684607.jpeg
1162,['red'],['dalmatian'],2155282.jpeg
1163,['yellow'],"['extreme harlequin', 'drippy']",2155268.jpeg
1164,['lavender'],['snowflake'],2684557.jpeg
1165,['red'],"['extreme harlequin', 'harlequin', 'pinstripe']",2684528.jpeg
1166,"['red', 'yellow']",['drippy'],2684516.jpeg
1167,['dark'],"['pinstripe', 'quad-stripe', 'tri-color']",2684490.jpeg
1168,"['lavender', 'yellow']","['harlequin', 'ink spot', 'fringing', 'kneecaps']",2080849.jpeg
1169,['red'],"['partial pinstripe', 'pinstripe', 'quad-stripe']",1912580.jpeg
1170,['yellow'],"['extreme harlequin', 'fringing']",2080835.jpeg
1171,['yellow'],"['pinstripe', 'fringing', 'kneecaps']",2080821.jpeg
1172,['cream'],"['extreme harlequin', 'fringing', 'kneecaps']",2080812.jpeg
1173,['lavender'],"['pinstripe', 'snowflake']",2080778.jpeg
1174,['yellow'],['extreme harlequin'],2080773.jpeg
1175,"['cream', 'dark']",['extreme harlequin'],1382910.jpeg
1176,['yellow'],['extreme harlequin'],2080737.jpeg
1177,['red'],"['portholes', 'phantom']",2684312.jpeg
1178,"['lavender', 'yellow']","['extreme harlequin', 'furred']",2080717.jpeg
1179,['red'],"['portholes', 'phantom']",2684300.jpeg
1180,['yellow'],"['extreme harlequin', 'tri-color']",2080706.jpeg
1181,['cream'],"['pinstripe', 'ink spot', 'fringing', 'kneecaps', 'cold fusion']",2363687.jpeg
1182,['dark'],"['dalmatian', 'snowflake']",2684289.jpeg
1183,['yellow'],"['quad-stripe', 'fringing', 'kneecaps', 'tri-color']",2363681.jpeg
1184,['red'],"['dalmatian', 'harlequin', 'portholes']",2684276.jpeg
1185,['yellow'],"['extreme harlequin', 'tri-color']",2080692.jpeg
1186,['yellow'],"['extreme harlequin', 'tri-color']",2363676.jpeg
1187,['yellow'],"['extreme harlequin', 'pinstripe', 'fringing', 'kneecaps', 'tri-color']",2363673.jpeg
1188,['cream'],"['dalmatian', 'harlequin', 'ink spot', 'fringing', 'kneecaps', 'cold fusion']",2363668.jpeg
1189,['dark'],"['extreme harlequin', 'harlequin', 'pinstripe', 'quad-stripe', 'snowflake', 'white wall', 'drippy']",2684261.jpeg
1190,['yellow'],"['extreme harlequin', 'fringing', 'tri-color']",2363654.jpeg
1191,['cream'],"['dalmatian', 'extreme harlequin', 'fringing', 'kneecaps']",2080673.jpeg
1192,['dark'],"['dalmatian', 'pinstripe', 'white out', 'snowflake', 'portholes']",2684247.jpeg
1193,['cream'],"['harlequin', 'fringing', 'kneecaps', 'cold fusion']",2363643.jpeg
1194,['olive'],['partial pinstripe'],2583548.jpeg
1195,['red'],"['extreme harlequin', 'harlequin', 'tri-color']",2621489.jpeg
1196,"['cream', 'dark']","['harlequin', 'white out']",2684208.jpeg
1197,['red'],['dalmatian'],2245217.jpeg
1198,['red'],['quad-stripe'],2583530.jpeg
1199,['yellow'],"['fringing', 'kneecaps']",2080632.jpeg
1200,['red'],[],2621466.jpeg
1201,"['cream', 'yellow']","['harlequin', 'fringing', 'kneecaps']",2080620.jpeg
1202,['red'],"['white wall', 'tri-color', 'drippy']",2684161.jpeg
1203,['yellow'],"['fringing', 'kneecaps', 'tri-color']",2080593.jpeg
1204,"['cream', 'yellow']","['pinstripe', 'tri-color']",2080573.jpeg
1205,['yellow'],['extreme harlequin'],2080564.jpeg
1206,['cream'],['quad-stripe'],2080557.jpeg
1207,"['cream', 'yellow']","['dalmatian', 'extreme harlequin', 'solid back']",2080551.jpeg
1208,['yellow'],"['extreme harlequin', 'fringing', 'kneecaps', 'tri-color']",2080544.jpeg
1209,['yellow'],['pinstripe'],2080521.jpeg
1210,['lavender'],"['extreme harlequin', 'harlequin', 'drippy']",2684065.jpeg
1211,['cream'],['extreme harlequin'],2080485.jpeg
1212,"['cream', 'yellow']","['extreme harlequin', 'tri-color']",2080475.jpeg
1213,"['cream', 'lavender']",['extreme harlequin'],1883107.jpeg
1214,['yellow'],"['extreme harlequin', 'snowflake', 'fringing', 'kneecaps']",2080459.jpeg
1215,['red'],"['snowflake', 'white wall', 'drippy']",1893599.jpeg
1216,"['cream', 'yellow']",['extreme harlequin'],2080422.jpeg
1217,['yellow'],"['extreme harlequin', 'fringing']",2080414.jpeg
1218,['yellow'],['extreme harlequin'],2080398.jpeg
1219,"['cream', 'dark']","['harlequin', 'snowflake']",2316243.jpeg
1220,['yellow'],"['pinstripe', 'tri-color']",2080382.jpeg
1221,['yellow'],"['extreme harlequin', 'tri-color']",2080372.jpeg
1222,['red'],[],2405970.jpeg
1223,['dark'],"['partial pinstripe', 'pinstripe']",2597340.jpeg
1224,['dark'],['quad-stripe'],2591432.jpeg
1225,['olive'],"['dalmatian', 'red spot']",2573364.jpeg
1226,['red'],['dalmatian'],2525892.jpeg
1227,['red'],"['dalmatian', 'red spot', 'portholes']",2494715.jpeg
1228,['red'],"['dalmatian', 'red spot', 'portholes']",2174789.jpeg
1229,['red'],[],2683740.jpeg
1230,['cream'],"['snowflake', 'fringing', 'kneecaps', 'cold fusion']",2079984.jpeg
1231,['red'],[],2079973.jpeg
1232,['cream'],"['snowflake', 'fringing', 'kneecaps', 'cold fusion']",2079953.jpeg
1233,['cream'],"['snowflake', 'fringing', 'kneecaps', 'cold fusion']",2079953.jpeg
1234,['red'],"['partial pinstripe', 'crowned', 'tri-color', 'drippy']",2242997.jpeg
1235,['yellow'],"['snowflake', 'fringing', 'kneecaps', 'tri-color', 'cold fusion']",2079949.jpeg
1236,['red'],"['pinstripe', 'snowflake', 'portholes', 'fringing', 'kneecaps', 'cold fusion']",2079944.jpeg
1237,['red'],[],2582693.jpeg
1238,"['cream', 'dark']",['quad-stripe'],2550607.jpeg
1239,['lavender'],['extreme harlequin'],2218865.jpeg
1240,['red'],"['dalmatian', 'ink spot']",2571818.jpeg
1241,['red'],['pinstripe'],2328437.jpeg
1242,['yellow'],['pinstripe'],2539449.jpeg
1243,['yellow'],[],2539483.jpeg
1244,['red'],['harlequin'],2427875.jpeg
1245,['lavender'],['tri-color'],1534170.jpeg
1246,"['cream', 'lavender']",['pinstripe'],2071644.jpeg
1247,"['cream', 'lavender']",['pinstripe'],2071642.jpeg
1248,['lavender'],['partial pinstripe'],2682957.jpeg
1249,['yellow'],"['harlequin', 'pinstripe']",2551988.jpeg
1250,['red'],[],2682929.jpeg
1251,['yellow'],"['dalmatian', 'super dalmatian']",2128997.jpeg
1252,['yellow'],"['dalmatian', 'pinstripe', 'quad-stripe', 'super dalmatian', 'phantom']",1859102.jpeg
1253,['red'],"['pinstripe', 'phantom', 'patternless']",2272800.jpeg
1254,['red'],['harlequin'],2272797.jpeg
1255,['yellow'],['harlequin'],2619828.jpeg
1256,['red'],"['pos red', 'pos tri-color', 'drippy']",2109779.jpeg
1257,['dark'],"['harlequin', 'drippy']",2526574.jpeg
1258,"['cream', 'red']",['harlequin'],2551833.jpeg
1259,['dark'],"['snowflake', 'fringing', 'tri-color', 'drippy']",2109705.jpeg
1260,['lavender'],['pinstripe'],2619739.jpeg
1261,"['lavender', 'red']","['pinstripe', 'quad-stripe', 'tri-color']",2418234.jpeg
1262,['dark'],[],2436929.jpeg
1263,['dark'],['pinstripe'],2682786.jpeg
1264,['dark'],"['fringing', 'tri-color']",2682779.jpeg
1265,['dark'],['pinstripe'],2682748.jpeg
1266,['dark'],['harlequin'],2526470.jpeg
1267,['dark'],['pinstripe'],2682720.jpeg
1268,['dark'],"['extreme harlequin', 'tri-color', 'drippy']",1988441.jpeg
1269,"['cream', 'dark']","['extreme harlequin', 'tri-color']",2526342.jpeg
1270,['dark'],"['extreme harlequin', 'harlequin', 'tri-color']",2450294.jpeg
1271,['dark'],['tri-color'],2682530.jpeg
1272,['dark'],['tri-color'],2682463.jpeg
1273,['dark'],"['dalmatian', 'pinstripe', 'phantom']",1713444.jpeg
