Tag,Image Name
"['Harlequin', 'Pos Solid Back', 'Cream', 'Dark', 'Tri-color']",2458452.jpeg
"['Red', 'Lilly White', 'Phantom']",2012445.jpeg
"['Dalmatian', 'Extreme Harlequin', 'Harlequin']",2289027.jpeg
"['Partial Pinstripe', 'Tri-color']",2241687.jpeg
"['Harlequin', 'Portholes']",2439359.jpeg
"['Harlequin', 'Red Base']",2506258.jpeg
"['Harlequin', 'Partial Pinstripe', 'Tri-color']",1920188.jpeg
['Harlequin'],1930358.jpeg
"['Dalmatian', 'Harlequin', 'Red']",1763552.jpeg
"['Brindle', 'Dalmatian']",1604921.jpeg
"['Harlequin', 'Tailless', 'Yellow']",1108728.jpeg
"['Harlequin', 'Pinstripe', 'Tri-color']",1950508.jpeg
"['Pinstripe', 'Dark']",1613193.jpeg
"['Harlequin', 'Yellow']",845100.jpeg
"['Harlequin', 'Portholes']",869800.jpeg
"['Pinstripe', 'Quad-stripe', 'Tri-color']",2047452.jpeg
"['Extreme Harlequin', 'Drippy', 'Red Base']",1163354.jpeg
"['Dalmatian', 'Peppered', 'Super Dalmatian', 'Red Spot', 'Red Base']",2131284.jpeg
"['Harlequin', 'Dark']",1618798.jpeg
['Tri-color'],1242524.jpeg
"['Harlequin', 'Partial Pinstripe', 'Tri-color']",1950475.jpeg
"['Harlequin', 'Lavender', 'White Tip']",992460.jpeg
['Harlequin'],2052770.jpeg
"['Harlequin', 'Pinstripe', 'Red', 'Red Base']",1729798.jpeg
['Normal'],1897799.jpeg
"['Extreme Harlequin', 'Harlequin', 'Red', 'Tri-color']",1400325.jpeg
"['Dalmatian', 'Harlequin', 'Pinstripe', 'Tri-color']",1755821.jpeg
"['Red', 'Tri-color']",2111766.jpeg
['Tri-color'],2075390.jpeg
"['Crowned', 'Red', 'Bi-color']",2015543.jpeg
"['Extreme Harlequin', 'Harlequin', 'Pinstripe', 'Tipped Crests', 'Dark']",1819068.jpeg
"['Harlequin', 'Cream']",950977.jpeg
"['Extreme Harlequin', 'Tipped Crests', 'Tri-color']",920541.jpeg
"['Dalmatian', 'Pinstripe', 'Tri-color', 'Drippy']",1293822.jpeg
['Harlequin'],2132184.jpeg
"['Dalmatian', 'Harlequin', 'Red Spot']",2132180.jpeg
['Harlequin'],2132183.jpeg
['Harlequin'],2132181.jpeg
"['Dalmatian', 'Harlequin']",2132179.jpeg
['Harlequin'],1384696.jpeg
['Harlequin'],1994628.jpeg
"['Harlequin', 'Partial Pinstripe', 'Portholes']",1701589.jpeg
"['Lilly White', 'Red Base']",2342499.jpeg
['Harlequin'],2385360.jpeg
"['Dalmatian', 'Red Spot']",2352269.jpeg
"['Het Phantom', 'Pinstripe', 'Quad-stripe', 'Kneecaps', 'Lavender']",2058773.jpeg
['Phantom'],2359072.jpeg
"['Dalmatian', 'Extreme Harlequin', 'Yellow']",2321535.jpeg
['Harlequin'],2087403.jpeg
"['Portholes', 'Red', 'Red Base']",2206540.jpeg
"['Extreme Harlequin', 'Pinstripe', 'Cream', 'Bi-color', 'Red Base']",2342564.jpeg
"['Harlequin', 'Lavender']",2381254.jpeg
"['Lilly White', 'Red Base']",2319550.jpeg
"['Pos Dalmatian', 'Cream', 'Dark']",2362706.jpeg
"['Super Dalmatian', 'Ink Spot']",2218042.jpeg
"['Super Dalmatian', 'Yellow']",1401586.jpeg
"['Extreme Harlequin', 'Fringing', 'Blushing', 'Tipped Crests']",2188403.jpeg
"['Flame', 'Phantom']",2326695.jpeg
"['Portholes', 'Fringing', 'Blushing', 'Dark', 'Tri-color', 'Halloween']",1163526.jpeg
"['Dalmatian', 'Yellow']",2353199.jpeg
"['Harlequin', 'Partial Pinstripe']",2308664.jpeg
"['Dalmatian', 'Red Spot', 'Red']",2275721.jpeg
"['Brindle', 'Dalmatian']",2329380.jpeg
['Yellow'],2216677.jpeg
['Orange'],1944361.jpeg
"['Pinstripe', 'White Wall', 'Tri-color']",2285392.jpeg
['Harlequin'],2378796.jpeg
"['Extreme Harlequin', 'Harlequin', 'Portholes', 'Yellow']",1636378.jpeg
"['Red', 'Lilly White', 'Phantom']",2336570.jpeg
"['Brindle', 'Dalmatian']",2325719.jpeg
"['Dalmatian', 'Buckskin']",2368415.jpeg
"['Brindle', 'Tiger', 'Portholes', 'Dark']",2278321.jpeg
['Dark'],2253470.jpeg
"['Dalmatian', 'Harlequin']",2330712.jpeg
"['Quad-stripe', 'Super Stripe']",1893611.jpeg
['Ink Spot'],2326687.jpeg
['Harlequin'],2335531.jpeg
"['Harlequin', 'Pinstripe', 'Portholes']",2369927.jpeg
"['Harlequin', 'Partial Pinstripe', 'Kneecaps', 'Lavender']",2059659.jpeg
"['Partial Pinstripe', 'Quad-stripe']",2353726.jpeg
"['Harlequin', 'Blushing']",2188433.jpeg
"['Dalmatian', 'Red Spot']",2331698.jpeg
"['Extreme Harlequin', 'Harlequin', 'Cream', 'Red', 'Orange', 'Drippy']",1185642.jpeg
"['Dalmatian', 'Yellow', 'Phantom']",2326560.jpeg
"['Pinstripe', 'Tri-color']",2308390.jpeg
"['Tiger', 'Yellow', 'Phantom']",1459011.jpeg
"['Dalmatian', 'Pinstripe', 'Quad-stripe', 'Tri-color']",2093055.jpeg
"['Dalmatian', 'Harlequin', 'Partial Pinstripe']",2289453.jpeg
"['Harlequin', 'Tri-color', 'White Tip']",589249.jpeg
"['Harlequin', 'Pinstripe', 'Dark']",2340028.jpeg
"['Extreme Harlequin', 'Harlequin', 'Orange', 'Black', 'Dark']",2180230.jpeg
"['Dalmatian', 'Red Spot', 'Cream', 'Dark']",2345417.jpeg
"['Dalmatian', 'Red']",2308382.jpeg
['Harlequin'],2075415.jpeg
"['Dalmatian', 'Quad-stripe']",2188461.jpeg
"['Harlequin', 'Orange', 'Black', 'Dark']",2180379.jpeg
"['White Wall', 'Tri-color']",2323785.jpeg
"['Dalmatian', 'Portholes']",1553746.jpeg
"['Pinstripe', 'Solid Back', 'Tri-color']",2241993.jpeg
"['Dalmatian', 'Harlequin', 'Partial Pinstripe']",2359049.jpeg
"['Harlequin', 'Partial Pinstripe', 'Kneecaps', 'Lavender', 'Tri-color']",2053931.jpeg
"['Dalmatian', 'Pinstripe', 'Portholes', 'Orange', 'Empty Back', 'Phantom']",2369961.jpeg
"['Reverse Pinstripe', 'Yellow', 'Phantom']",2343781.jpeg
['Dalmatian'],2335939.jpeg
"['Dalmatian', 'Harlequin', 'Cream', 'Red', 'Dark']",2321423.jpeg
"['Dalmatian', 'Quad-stripe', 'Portholes', 'Cream']",1809334.jpeg
"['Dalmatian', 'Tiger', 'Dark']",1957176.jpeg
"['Harlequin', 'Partial Pinstripe', 'Orange', 'Lavender']",2379653.jpeg
"['Lavender', 'Tri-color']",2285432.jpeg
"['Extreme Harlequin', 'Tri-color']",2285396.jpeg
"['Quad-stripe', 'Red', 'Drippy']",1587511.jpeg
['Quad-stripe'],1892170.jpeg
"['Pinstripe', 'White Out']",1427405.jpeg
"['Dalmatian', 'Harlequin']",2338409.jpeg
"['Dalmatian', 'Extreme Harlequin', 'Harlequin', 'Portholes']",2308638.jpeg
"['Dalmatian', 'Super Dalmatian', 'Tiger', 'Ink Spot']",2354708.jpeg
"['Dalmatian', 'Red Spot', 'Cluster Spots', 'Red Base']",2206527.jpeg
"['Yellow', 'Tri-color']",2264924.jpeg
"['Brindle', 'Yellow', 'Phantom']",2475511.jpeg
"['Super Dalmatian', 'Ink Spot']",2078536.jpeg
"['Portholes', 'Red', 'Phantom', 'Patternless']",2339947.jpeg
"['Dalmatian', 'Bi-color', 'Phantom']",2380506.jpeg
"['Partial Pinstripe', 'Red', 'Orange', 'Lilly White', 'Phantom']",2317217.jpeg
"['Pinstripe', 'Quad-stripe']",2326582.jpeg
['Dalmatian'],2252171.jpeg
['Harlequin'],2391550.jpeg
"['Extreme Harlequin', 'Harlequin', 'Tri-color']",1414247.jpeg
['Harlequin'],869753.jpeg
"['Harlequin', 'Red']",2336575.jpeg
['Yellow'],2281076.jpeg
"['Extreme Harlequin', 'Pinstripe', 'Red']",2338481.jpeg
"['Dalmatian', 'Super Dalmatian', 'Ink Spot', 'Red Spot', 'Red']",2331632.jpeg
"['Harlequin', 'Partial Pinstripe', 'Kneecaps']",2319211.jpeg
"['Dalmatian', 'Yellow', 'Empty Back', 'Phantom']",2356274.jpeg
"['Extreme Harlequin', 'Partial Pinstripe']",2029201.jpeg
"['Cream', 'Red Base']",2331304.jpeg
['Dalmatian'],2029217.jpeg
['Harlequin'],1950456.jpeg
"['Harlequin', 'Partial Pinstripe', 'Portholes', 'Tri-color']",2271941.jpeg
"['Harlequin', 'Red']",2185446.jpeg
['Quad-stripe'],2233794.jpeg
"['Pinstripe', 'Dark']",2370934.jpeg
"['Pos Extreme Harlequin', 'Harlequin', 'Cream', 'Lavender', 'Drippy']",2203202.jpeg
"['Brindle', 'Dalmatian']",2357049.jpeg
"['Pinstripe', 'Orange', 'Tri-color']",2361835.jpeg
"['Harlequin', 'Tailless', 'Blushing', 'Cream', 'Red', 'Red Base']",2381000.jpeg
"['Pinstripe', 'Ink Spot', 'Phantom']",2326693.jpeg
"['Dalmatian', 'Red Base']",2362727.jpeg
['Red'],2438241.jpeg
"['Red', 'Tri-color']",2176094.jpeg
"['Harlequin', 'Tri-color']",2472860.jpeg
['Extreme Harlequin'],2406048.jpeg
['Harlequin'],2335410.jpeg
"['Pinstripe', 'White Out']",2385308.jpeg
"['Extreme Harlequin', 'Snowflake', 'White Wall', 'Tri-color', 'Drippy']",1599782.jpeg
"['Pinstripe', 'Black', 'Dark']",2216369.jpeg
"['Dalmatian', 'Cream']",2332702.jpeg
['Tri-color'],2356298.jpeg
"['Harlequin', 'Lavender']",2326586.jpeg
"['Dalmatian', 'Patternless']",2329421.jpeg
['Cream'],2218640.jpeg
"['Extreme Harlequin', 'Crowned', 'Tri-color', 'Drippy']",2200801.jpeg
"['Flame', 'Orange']",2457915.jpeg
"['Dalmatian', 'Harlequin', 'Red']",2234786.jpeg
"['Lilly White', 'Axanthic']",2153971.jpeg
"['Harlequin', 'Dark']",2185398.jpeg
['Harlequin'],2140481.jpeg
['Quad-stripe'],2281084.jpeg
"['Yellow', 'Tri-color']",2361797.jpeg
"['Harlequin', 'Dark', 'Halloween']",2074753.jpeg
"['Extreme Harlequin', 'Pinstripe', 'Red']",2507828.jpeg
"['Dalmatian', 'Super Dalmatian', 'Patternless']",2206820.jpeg
"['Harlequin', 'Lavender']",2494941.jpeg
"['Portholes', 'Red Base']",2502027.jpeg
"['Cream', 'Dark']",2185438.jpeg
"['Quad-stripe', 'Super Stripe']",2246496.jpeg
"['Extreme Harlequin', 'Partial Pinstripe']",2258721.jpeg
"['Red', 'Tri-color']",2332841.jpeg
"['Extreme Harlequin', 'Dark', 'Halloween']",2271111.jpeg
"['Red', 'Phantom']",2490381.jpeg
"['Dalmatian', 'Harlequin']",2188373.jpeg
"['Dalmatian', 'Harlequin']",1872928.jpeg
['Harlequin'],2457908.jpeg
"['Brindle', 'Dalmatian']",2473887.jpeg
"['Brindle', 'Cream']",2291133.jpeg
"['Quad-stripe', 'Yellow']",2451150.jpeg
"['Pinstripe', 'Cream', 'Red Base']",2488766.jpeg
"['Tiger', 'Red']",2312599.jpeg
"['Harlequin', 'Drippy']",2176075.jpeg
"['Harlequin', 'Pinstripe', 'Portholes']",2437055.jpeg
"['Harlequin', 'Pinstripe', 'Dark']",2431228.jpeg
['Red'],2421620.jpeg
['Harlequin'],2490838.jpeg
"['Pinstripe', 'Lavender']",2391633.jpeg
['Extreme Harlequin'],2084105.jpeg
"['Tailless', 'Portholes', 'Red', 'Soft Scale', 'Phantom']",2402068.jpeg
"['Flame', 'Het Phantom', 'Dark']",2363380.jpeg
"['Harlequin', 'Red']",2338059.jpeg
"['Extreme Harlequin', 'Partial Pinstripe']",2311323.jpeg
"['Extreme Harlequin', 'Tri-color']",1950464.jpeg
['Dalmatian'],2472784.jpeg
"['Extreme Harlequin', 'Tri-color']",1991676.jpeg
"['Harlequin', 'Lavender', 'Dark']",2206590.jpeg
"['Harlequin', 'Partial Pinstripe']",2434955.jpeg
['Harlequin'],2493685.jpeg
"['Extreme Harlequin', 'Harlequin']",2455940.jpeg
"['Tipped Crests', 'Tri-color']",1809325.jpeg
"['Harlequin', 'Halloween']",2442054.jpeg
['Dark'],2218349.jpeg
['Extreme Harlequin'],2273170.jpeg
"['Harlequin', 'Lavender']",2494655.jpeg
"['Pinstripe', 'Orange']",2334785.jpeg
"['Brindle', 'Flame', 'Portholes']",2404054.jpeg
"['Dalmatian', 'Red Spot']",2331686.jpeg
['Quad-stripe'],2491470.jpeg
"['Harlequin', 'Pin-dashed', 'Tailless', 'Cream', 'Red', 'Red Base']",2380945.jpeg
"['Dalmatian', 'Pinstripe', 'Lavender']",2321576.jpeg
"['Pinstripe', 'Dark', 'Halloween']",2340040.jpeg
"['Pinstripe', 'Portholes', 'Yellow', 'Lavender']",2345861.jpeg
"['Dalmatian', 'Orange', 'Phantom']",2406768.jpeg
['Harlequin'],1872927.jpeg
"['Dalmatian', 'Extreme Harlequin', 'Pinstripe', 'Tri-color', 'Drippy']",1433147.jpeg
"['Pinstripe', 'Tri-color']",2437382.jpeg
"['Harlequin', 'Portholes']",1820592.jpeg
"['Harlequin', 'Orange', 'Black']",2180214.jpeg
"['Pinstripe', 'Black']",2513002.jpeg
"['Flame', 'Portholes']",2406271.jpeg
"['White Wall', 'Tri-color', 'Drippy']",1895179.jpeg
"['Flame', 'Portholes', 'Fringing', 'Kneecaps', 'Blushing', 'Red', 'Bi-color', 'Red Base']",2549344.jpeg
"['Dalmatian', 'Pos Super Dalmatian', 'Red Spot']",2352316.jpeg
['Flame'],2326682.jpeg
"['Dalmatian', 'Harlequin']",2472761.jpeg
['Dalmatian'],2238374.jpeg
"['Pinstripe', 'Tri-color']",2437337.jpeg
"['Brindle', 'Dalmatian']",2325664.jpeg
['Red Base'],2326679.jpeg
['Extreme Harlequin'],1162214.jpeg
"['Pinstripe', 'Quad-stripe', 'Tiger', 'Orange']",2258787.jpeg
['Harlequin'],2472775.jpeg
"['Extreme Harlequin', 'Partial Pinstripe', 'Kneecaps', 'Dark', 'Tri-color']",2413541.jpeg
"['Dalmatian', 'Tiger', 'Portholes', 'Phantom']",2525128.jpeg
"['Dalmatian', 'Extreme Harlequin', 'Tipped Crests', 'Tri-color', 'Drippy']",1809340.jpeg
"['Pinstripe', 'White Out']",2396042.jpeg
"['Red', 'Patternless']",2320433.jpeg
"['Extreme Harlequin', 'Dark', 'Tri-color']",2474051.jpeg
"['Flame', 'Harlequin', 'Portholes', 'Red']",2235250.jpeg
"['Extreme Harlequin', 'Harlequin']",2481889.jpeg
"['Dalmatian', 'Flame', 'Pinstripe', 'Bi-color']",2478083.jpeg
"['Dalmatian', 'Yellow', 'Phantom']",2326575.jpeg
['Harlequin'],2476901.jpeg
"['Pinstripe', 'Quad-stripe', 'Portholes', 'Tipped Crests']",1383219.jpeg
"['Brindle', 'Dalmatian', 'Quad-stripe', 'Reverse Pinstripe', 'Oil Spot', 'Phantom']",2465843.jpeg
"['Harlequin', 'Pinstripe', 'Tailless', 'Snowflake', 'Fringing', 'Kneecaps', 'Tri-color']",2308538.jpeg
['Tri-color'],2356114.jpeg
"['Pinstripe', 'Cream', 'Dark']",1195983.jpeg
"['Dalmatian', 'Dark']",2492682.jpeg
"['Extreme Harlequin', 'Tri-color', 'Lilly White', 'White Tip']",2504542.jpeg
"['Super Dalmatian', 'Ink Spot', 'Yellow']",2552371.jpeg
['Dalmatian'],2496627.jpeg
"['Red', 'Lilly White', 'Phantom']",2351584.jpeg
"['Dalmatian', 'Yellow']",1810622.jpeg
"['Brindle', 'Dalmatian']",2388902.jpeg
"['Harlequin', 'Dark']",2388536.jpeg
['Brindle'],2390632.jpeg
"['Harlequin', 'Dark']",2388505.jpeg
['Harlequin'],2403074.jpeg
"['Pos Harlequin', 'Tri-color']",2457235.jpeg
"['Extreme Harlequin', 'Halloween', 'Drippy']",1809323.jpeg
"['Harlequin', 'Pinstripe', 'Dark']",2469113.jpeg
['Hybrid'],2476719.jpeg
"['Harlequin', 'Pinstripe', 'Dark']",2340014.jpeg
['Tri-color'],2264759.jpeg
['Harlequin'],869786.jpeg
"['Pinstripe', 'Red Base']",2542317.jpeg
"['Lilly White', 'Phantom', 'Red Base']",2479769.jpeg
['Extreme Harlequin'],2269267.jpeg
"['Extreme Harlequin', 'Harlequin', 'Dark', 'Lilly White', 'Phantom']",2437105.jpeg
"['Quad-stripe', 'White Wall', 'Tri-color']",2369893.jpeg
['Partial Pinstripe'],2330718.jpeg
"['Dalmatian', 'Red Spot']",2331695.jpeg
"['Dalmatian', 'Red Spot']",2331693.jpeg
"['Pinstripe', 'Quad-stripe']",2414034.jpeg
"['Extreme Harlequin', 'Het Phantom', 'Snowflake', 'Cream', 'Red', 'Drippy']",1566663.jpeg
"['Extreme Harlequin', 'Dark', 'Tri-color']",2474189.jpeg
"['Dalmatian', 'Harlequin', 'Pinstripe', 'Tailless', 'Cream', 'Lavender']",2239949.jpeg
['Extreme Harlequin'],1992895.jpeg
"['Extreme Harlequin', 'Pinstripe', 'Tri-color']",2327642.jpeg
['Red'],2399531.jpeg
"['Super Dalmatian', 'Ink Spot', 'Portholes']",2078552.jpeg
"['Lilly White', 'Red Base']",2308342.jpeg
"['Tailless', 'Tri-color']",2217773.jpeg
"['Dalmatian', 'Orange', 'Phantom']",2526487.jpeg
"['Harlequin', 'Pin-dashed', 'Portholes', 'Cream']",2055726.jpeg
"['Extreme Harlequin', 'Dark']",2539777.jpeg
"['Partial Pinstripe', 'Dark']",2184562.jpeg
['Extreme Harlequin'],1817455.jpeg
"['Harlequin', 'Tri-color']",2395686.jpeg
"['Harlequin', 'Pin-dashed', 'Yellow']",2176250.jpeg
"['Super Dalmatian', 'Red']",2285476.jpeg
"['Red', 'Phantom']",2472790.jpeg
"['Pos Extreme Harlequin', 'Pinstripe', 'Portholes']",2126192.jpeg
['Harlequin'],2431238.jpeg
"['Extreme Harlequin', 'Harlequin', 'Pinstripe', 'Dark']",2012893.jpeg
"['Harlequin', 'Snowflake', 'Tri-color']",2413558.jpeg
['Harlequin'],2457580.jpeg
"['Flame', 'Orange']",2406852.jpeg
"['Dalmatian', 'Tiger', 'Yellow']",2553559.jpeg
['Partial Pinstripe'],2344014.jpeg
"['Cream', 'Black']",2308394.jpeg
"['Pinstripe', 'Dark']",2477099.jpeg
['Harlequin'],2516326.jpeg
"['Extreme Harlequin', 'Harlequin', 'Super Dalmatian', 'Red Spot', 'Cream', 'Red']",2407068.jpeg
['Extreme Harlequin'],2330739.jpeg
['Dalmatian'],2352298.jpeg
"['Brindle', 'Dalmatian']",2402189.jpeg
"['Extreme Harlequin', 'Tipped Crests', 'Tri-color']",1809322.jpeg
['Dalmatian'],2406823.jpeg
"['Brindle', 'Partial Pinstripe', 'Pinstripe', 'Quad-stripe', 'Tiger', 'Kneecaps', 'Yellow', 'Tangerine', 'Phantom']",2058783.jpeg
['Harlequin'],2396008.jpeg
['Orange'],1384729.jpeg
['Tri-color'],2457211.jpeg
['Solid Back'],2551256.jpeg
['Dark'],2468021.jpeg
['Harlequin'],2407919.jpeg
"['Brindle', 'Harlequin', 'Halloween']",2337015.jpeg
['Dalmatian'],2487010.jpeg
['Tri-color'],2516179.jpeg
['Yellow'],2232016.jpeg
['Harlequin'],2279558.jpeg
['Harlequin'],2439492.jpeg
['Tri-color'],2185454.jpeg
"['Yellow', 'Phantom']",2423557.jpeg
"['Dalmatian', 'Harlequin', 'Red']",2234906.jpeg
"['Extreme Harlequin', 'Harlequin', 'Snowflake', 'Lavender']",2347324.jpeg
['Lavender'],2499551.jpeg
"['Red', 'Patternless']",1630605.jpeg
"['Dalmatian', 'Dark']",2492254.jpeg
"['Harlequin', 'Dark']",1401651.jpeg
['Cold Fusion'],2332468.jpeg
['Extreme Harlequin'],2418964.jpeg
"['Lavender', 'Tri-color']",2541830.jpeg
"['Brindle', 'Yellow']",2519342.jpeg
['Tri-color'],2554576.jpeg
"['Extreme Harlequin', 'Pinstripe', 'Tipped Crests', 'Tri-color']",1809321.jpeg
"['Extreme Harlequin', 'Harlequin', 'Dark']",2462970.jpeg
"['Pinstripe', 'Dark', 'Halloween']",2210539.jpeg
"['Portholes', 'Patternless']",2191167.jpeg
['Red'],2408752.jpeg
"['Dalmatian', 'Extreme Harlequin', 'Solid Back', 'Cream', 'Lavender', 'Dark']",2288824.jpeg
"['Harlequin', 'Pinstripe', 'Lavender']",2525228.jpeg
['Super Dalmatian'],2403982.jpeg
"['Pinstripe', 'Quad-stripe']",2531831.jpeg
['Red Base'],2467933.jpeg
"['Harlequin', 'Tri-color']",2457664.jpeg
"['Super Dalmatian', 'Tiger', 'Ink Spot', 'Yellow', 'Phantom']",1950501.jpeg
['Harlequin'],2467604.jpeg
"['Harlequin', 'Lavender', 'Drippy']",2332883.jpeg
"['Dalmatian', 'Red']",2479744.jpeg
"['Harlequin', 'Red']",2354648.jpeg
"['Extreme Harlequin', 'White Out']",2257318.jpeg
"['Dalmatian', 'Harlequin', 'Partial Pinstripe']",1755742.jpeg
"['Harlequin', 'Snowflake', 'White Wall', 'Drippy']",2366940.jpeg
"['Harlequin', 'Dark', 'Tri-color']",2354544.jpeg
['Harlequin'],2491782.jpeg
"['Extreme Harlequin', 'Harlequin']",2481205.jpeg
"['Extreme Harlequin', 'Harlequin']",2185235.jpeg
"['Red', 'Phantom']",2519350.jpeg
"['Red', 'Dark', 'Lilly White', 'Phantom']",2379554.jpeg
['Harlequin'],2418958.jpeg
"['Pinstripe', 'Quad-stripe', 'White Wall', 'Drippy']",2403890.jpeg
"['Super Dalmatian', 'Red Spot', 'Olive', 'Phantom', 'Red Base']",2412436.jpeg
"['Extreme Harlequin', 'White Out', 'Dark']",2387032.jpeg
"['Brindle', 'Dalmatian']",2329387.jpeg
"['Pos Brindle', 'Blushing', 'Yellow']",2308562.jpeg
"['Brindle', 'Dalmatian', 'Partial Pinstripe', 'Phantom']",2546487.jpeg
"['Pinstripe', 'Creamsicle']",2501391.jpeg
['Partial Pinstripe'],2121121.jpeg
"['Super Dalmatian', 'Ink Spot', 'Yellow']",2403838.jpeg
"['Harlequin', 'Cream', 'Dark']",1759165.jpeg
"['Dalmatian', 'Red', 'Phantom']",2553419.jpeg
"['Extreme Harlequin', 'Pinstripe', 'Red', 'Tri-color', 'Drippy']",2455252.jpeg
"['Extreme Harlequin', 'Red', 'Tri-color']",2246613.jpeg
"['Harlequin', 'Pinstripe', 'Quad-stripe']",2525257.jpeg
"['Cream', 'Red Base']",2291141.jpeg
"['Dalmatian', 'Ink Spot', 'Red Spot', 'Red Base']",2493910.jpeg
"['Dalmatian', 'Harlequin', 'Pin-dashed', 'Tailless', 'Tiger', 'Red Spot', 'Cream']",2381127.jpeg
"['Harlequin', 'Pinstripe', 'Portholes', 'Fringing']",1980046.jpeg
"['Brindle', 'Dalmatian', 'Yellow']",2409000.jpeg
['Other Trait'],2554461.jpeg
"['Extreme Harlequin', 'Harlequin', 'Cream']",2467599.jpeg
['Solid Back'],2273266.jpeg
"['Dalmatian', 'Flame', 'Portholes']",2406276.jpeg
"['Tiger', 'Red']",2312646.jpeg
['Harlequin'],2338338.jpeg
"['Dalmatian', 'Quad-stripe', 'Portholes', 'Cream', 'Drippy']",1809330.jpeg
"['Dalmatian', 'Red Spot', 'Red Base']",2499268.jpeg
"['Partial Pinstripe', 'Pin-dashed', 'Dark']",2275739.jpeg
"['Dalmatian', 'Super Dalmatian', 'Yellow']",2545473.jpeg
"['Pinstripe', 'Quad-stripe', 'Dark']",2554580.jpeg
"['Brindle', 'Dalmatian', 'Ink Spot']",2499421.jpeg
"['Harlequin', 'Partial Pinstripe', 'Tri-color']",2224012.jpeg
"['Harlequin', 'Tri-color', 'Drippy']",2475994.jpeg
"['Extreme Harlequin', 'Blushing']",2188446.jpeg
['Dalmatian'],2406886.jpeg
"['Pos Brindle', 'Dalmatian', 'Super Dalmatian', 'Ink Spot', 'Phantom']",2525145.jpeg
['Tri-color'],2406869.jpeg
"['Tiger', 'Yellow']",2202629.jpeg
['Tri-color'],2185335.jpeg
['Tri-color'],2519330.jpeg
"['Pinstripe', 'Tri-color']",2493541.jpeg
['Red'],2462993.jpeg
['Quad-stripe'],2391605.jpeg
"['Harlequin', 'Creamsicle']",2387806.jpeg
"['Harlequin', 'Dark', 'Tri-color']",2292275.jpeg
"['Dalmatian', 'Super Dalmatian', 'Ink Spot']",2491613.jpeg
"['Extreme Harlequin', 'Furred']",2378787.jpeg
"['Dalmatian', 'Yellow']",2516115.jpeg
"['Pinstripe', 'Red', 'Phantom', 'Patternless']",2338489.jpeg
"['Dalmatian', 'Pinstripe', 'Snowflake', 'Tri-color']",2308652.jpeg
"['Harlequin', 'Dark', 'Phantom']",2408234.jpeg
['Harlequin'],2457925.jpeg
"['Partial Pinstripe', 'Het Phantom', 'Quad-stripe', 'Red', 'Drippy']",2485412.jpeg
"['Pos Het Phantom', 'Pos Red', 'Tri-color']",2516128.jpeg
"['Harlequin', 'Het Phantom', 'Dark']",2525112.jpeg
"['Harlequin', 'Portholes', 'Dark', 'Drippy']",2204662.jpeg
['Harlequin'],2541287.jpeg
['Tri-color'],2425127.jpeg
"['Harlequin', 'Snowflake', 'Lavender', 'Dark', 'Drippy']",2450803.jpeg
"['Harlequin', 'Tiger', 'Tri-color']",2492270.jpeg
"['Dalmatian', 'Quad-stripe', 'Portholes', 'Cream', 'Drippy']",1809337.jpeg
['Harlequin'],2325342.jpeg
"['Quad-stripe', 'Yellow', 'Drippy']",2551384.jpeg
['Tri-color'],2083345.jpeg
"['Flame', 'Harlequin']",2314031.jpeg
"['Quad-stripe', 'Tri-color']",2344155.jpeg
"['Pin-dashed', 'Portholes', 'Dark', 'Bi-color', 'Phantom', 'Red Base']",2381076.jpeg
['Lavender'],2326450.jpeg
"['Brindle', 'Dalmatian']",2357032.jpeg
"['Dalmatian', 'Harlequin']",2289340.jpeg
['Dalmatian'],2396773.jpeg
['Harlequin'],2511520.jpeg
['Harlequin'],1937724.jpeg
"['Harlequin', 'Cream', 'Dark']",1759171.jpeg
"['Brindle', 'Dalmatian', 'Yellow']",2448306.jpeg
"['Flame', 'Red']",2184902.jpeg
"['Harlequin', 'Dark', 'Drippy']",2388467.jpeg
['Harlequin'],2457917.jpeg
"['Pinstripe', 'Cream', 'Dark']",2404514.jpeg
"['Harlequin', 'Het Phantom', 'Pin-dashed', 'Portholes', 'Red']",2097688.jpeg
['Quad-stripe'],2537233.jpeg
['Partial Pinstripe'],2326541.jpeg
"['Harlequin', 'Red']",1213990.jpeg
['Tri-color'],2513847.jpeg
"['Harlequin', 'Orange', 'Black', 'Dark']",2180242.jpeg
"['Dark', 'Tri-color']",2446280.jpeg
"['Extreme Harlequin', 'Harlequin', 'Crowned', 'Dark', 'Olive']",2250073.jpeg
"['Extreme Harlequin', 'Tri-color', 'Drippy']",2316744.jpeg
"['Dalmatian', 'Lavender']",2475797.jpeg
"['Orange', 'Dark', 'Halloween']",2437204.jpeg
"['Harlequin', 'Dark']",2510360.jpeg
"['Super Dalmatian', 'Red Spot', 'Portholes']",2472802.jpeg
['Red'],2472745.jpeg
"['Dalmatian', 'Flame', 'Harlequin', 'Lavender']",651877.jpeg
"['Flame', 'Het Phantom', 'Red']",2363413.jpeg
"['Harlequin', 'Pinstripe', 'Tri-color']",2322412.jpeg
"['Brindle', 'Extreme Harlequin', 'Harlequin', 'Cream', 'Yellow']",2193295.jpeg
"['Tri-color', 'Lilly White', 'Red Base']",2539689.jpeg
['Harlequin'],2446298.jpeg
"['Pinstripe', 'Dark', 'Tri-color']",2450215.jpeg
