,Traits,Image Name,cream,dark,lavender,olive,red,yellow
733,[],2326450.jpeg,0,0,1,0,0,0
734,"['harlequin', 'harlequin']",1759171.jpeg,1,1,0,0,0,0
735,"['brindle', 'dalmatian']",2448306.jpeg,0,0,0,0,0,1
736,['flame'],2184902.jpeg,0,0,0,0,1,0
737,"['harlequin', 'drippy']",2388467.jpeg,0,1,0,0,0,0
738,"['pinstripe', 'pinstripe']",2404514.jpeg,1,1,0,0,0,0
739,"['harlequin', 'het phantom', 'pin-dashed', 'portholes']",2097688.jpeg,0,0,0,0,1,0
740,['harlequin'],1213990.jpeg,0,0,0,0,1,0
741,"['harlequin', 'harlequin']",2180242.jpeg,0,1,0,0,1,0
742,['tri-color'],2446280.jpeg,0,1,0,0,0,0
743,"['extreme harlequin', 'harlequin', 'crowned', 'extreme harlequin', 'harlequin', 'crowned']",2250073.jpeg,0,1,0,1,0,0
744,['dalmatian'],2475797.jpeg,0,0,1,0,0,0
745,[],2437204.jpeg,0,1,0,0,1,0
746,['harlequin'],2510360.jpeg,0,1,0,0,0,0
747,[],2472745.jpeg,0,0,0,0,1,0
748,"['dalmatian', 'flame', 'harlequin']",651877.jpeg,0,0,1,0,0,0
749,"['flame', 'het phantom']",2363413.jpeg,0,0,0,0,1,0
750,"['brindle', 'extreme harlequin', 'harlequin', 'brindle', 'extreme harlequin', 'harlequin']",2193295.jpeg,1,0,0,0,0,1
751,"['tri-color', 'lilly white']",2539689.jpeg,0,0,0,0,1,0
752,"['pinstripe', 'tri-color']",2450215.jpeg,0,1,0,0,0,0
753,['pinstripe'],2353541.jpeg,0,0,1,0,0,0
754,"['dalmatian', 'quad-stripe', 'portholes']",2453128.jpeg,0,0,0,0,0,1
755,['tri-color'],2376962.jpeg,0,1,0,0,0,0
756,"['dalmatian', 'dalmatian']",2331741.jpeg,0,0,0,0,1,1
757,['pinstripe'],2548665.jpeg,0,1,0,0,0,0
758,[],2548566.jpeg,0,1,0,0,0,0
759,['pinstripe'],2084181.jpeg,0,0,0,0,0,1
760,"['extreme harlequin', 'partial pinstripe', 'pos portholes', 'pos lavender', 'tri-color']",2288967.jpeg,0,1,0,0,0,0
761,[],2316183.jpeg,0,1,0,0,0,0
762,['flame'],2335599.jpeg,0,1,0,0,0,0
763,"['brindle', 'portholes']",2337564.jpeg,0,0,0,0,0,1
764,[],2395616.jpeg,0,0,0,0,0,1
765,[],2542268.jpeg,0,0,0,0,1,0
766,['quad-stripe'],2426355.jpeg,0,1,0,0,0,0
767,"['dalmatian', 'harlequin', 'partial pinstripe', 'drippy']",2274750.jpeg,0,0,1,0,0,0
768,['harlequin'],2417346.jpeg,0,0,0,0,1,0
769,"['brindle', 'pinstripe']",2161603.jpeg,0,0,0,0,0,1
770,"['harlequin', 'pin-dashed', 'pinstripe', 'blushing']",2098679.jpeg,0,0,0,0,1,0
771,"['brindle', 'dalmatian', 'portholes']",2129405.jpeg,0,0,0,0,1,0
772,['brindle'],2189069.jpeg,0,0,0,0,0,1
773,['tri-color'],2362724.jpeg,0,1,0,0,0,0
774,['harlequin'],2536921.jpeg,0,0,0,0,1,0
775,['quad-stripe'],2510475.jpeg,0,0,1,0,0,0
776,['pinstripe'],2559819.jpeg,0,1,0,0,0,0
777,"['pos extreme harlequin', 'harlequin']",2346869.jpeg,0,1,0,0,0,0
778,"['dalmatian', 'super dalmatian', 'oil spot', 'red spot']",2545150.jpeg,0,1,0,0,0,0
779,[],2379543.jpeg,0,0,0,0,1,0
780,"['lilly white', 'phantom']",2379483.jpeg,0,0,0,0,1,0
781,['dalmatian'],2542278.jpeg,0,0,0,0,0,1
782,"['harlequin', 'pinstripe']",2542288.jpeg,0,0,0,0,1,0
783,"['partial pinstripe', 'pinstripe', 'partial pinstripe', 'pinstripe']",2551582.jpeg,1,1,0,0,0,0
784,"['dalmatian', 'pinstripe', 'phantom']",1366725.jpeg,0,0,0,0,0,1
785,[],2482358.jpeg,0,0,1,0,0,0
786,"['partial pinstripe', 'portholes']",2382402.jpeg,0,0,0,0,0,1
787,"['dalmatian', 'pinstripe', 'quad-stripe', 'fringing', 'kneecaps', 'dalmatian', 'pinstripe', 'quad-stripe', 'fringing', 'kneecaps']",2390680.jpeg,1,0,1,0,0,0
788,[],2230135.jpeg,0,0,0,0,1,0
789,"['extreme harlequin', 'harlequin', 'tri-color', 'extreme harlequin', 'harlequin', 'tri-color', 'extreme harlequin', 'harlequin', 'tri-color']",2557246.jpeg,0,1,0,0,1,1
790,"['harlequin', 'pinstripe', 'quad-stripe']",2340052.jpeg,0,1,0,0,0,0
791,['partial pinstripe'],2548535.jpeg,0,1,0,0,0,0
792,[],2216609.jpeg,1,1,0,0,0,0
793,[],2390555.jpeg,0,0,0,0,1,0
794,['pinstripe'],2518253.jpeg,0,0,0,0,1,0
795,"['brindle', 'dalmatian']",2448300.jpeg,0,0,0,0,0,1
796,"['white out', 'tri-color']",2423570.jpeg,0,1,0,0,0,0
797,"['pinstripe', 'pinstripe']",2549121.jpeg,1,1,0,0,0,0
798,['dalmatian'],1705217.jpeg,0,0,0,0,1,0
799,['dalmatian'],1705217.jpeg,0,0,0,0,1,0
800,"['tri-color', 'white tip', 'tri-color', 'white tip']",2364151.jpeg,0,1,0,0,1,0
801,['harlequin'],2522838.jpeg,0,0,0,0,1,0
802,['quad-stripe'],2381143.jpeg,0,1,0,0,0,0
803,[],2396932.jpeg,1,1,0,0,0,0
804,[],2397124.jpeg,0,1,0,0,0,0
805,"['extreme harlequin', 'drippy']",1809333.jpeg,0,1,0,0,0,0
806,"['tipped crests', 'pos lavender', 'tri-color']",1049107.jpeg,1,0,0,0,0,0
807,[],2547647.jpeg,0,1,0,0,0,0
808,"['empty back', 'phantom']",2554362.jpeg,0,0,0,0,0,1
809,"['partial pinstripe', 'reverse pinstripe', 'portholes', 'kneecaps', 'phantom']",2158236.jpeg,0,0,0,0,0,1
810,['tiger'],2548511.jpeg,0,1,0,0,0,0
811,['tiger'],2553822.jpeg,0,0,0,0,0,1
812,"['harlequin', 'partial pinstripe']",2549589.jpeg,0,1,0,0,0,0
813,[],2396893.jpeg,1,1,0,0,0,0
814,"['tri-color', 'tri-color']",2185459.jpeg,1,1,0,0,0,0
815,['harlequin'],2522897.jpeg,0,1,0,0,0,0
816,"['dalmatian', 'harlequin', 'pinstripe']",1646117.jpeg,0,0,0,0,1,0
817,"['partial pinstripe', 'fringing', 'furred']",2558467.jpeg,0,0,1,0,0,0
818,['tri-color'],2443683.jpeg,0,0,0,0,1,0
819,"['harlequin', 'tri-color']",2382365.jpeg,0,0,0,0,1,0
820,[],2457596.jpeg,0,0,0,0,0,1
821,"['harlequin', 'tiger', 'patternless']",2302353.jpeg,0,0,0,0,1,0
822,"['harlequin', 'quad-stripe']",2437547.jpeg,0,1,0,0,0,0
823,"['brindle', 'dalmatian']",2363390.jpeg,0,0,0,0,0,1
824,['harlequin'],2438268.jpeg,0,1,0,0,0,0
825,[],2396883.jpeg,1,1,0,0,0,0
826,[],2390598.jpeg,0,0,0,0,1,0
827,"['extreme harlequin', 'extreme harlequin']",2548470.jpeg,0,1,1,0,0,0
828,['brindle'],2387418.jpeg,0,0,0,0,1,0
829,['quad-stripe'],2275018.jpeg,1,0,0,0,0,0
830,['harlequin'],2403128.jpeg,0,0,0,0,1,0
831,['pinstripe'],2344298.jpeg,0,0,0,0,0,1
832,['harlequin'],2446306.jpeg,0,0,0,0,1,0
833,['tiger'],2477102.jpeg,0,0,0,0,1,0
834,[],2472712.jpeg,0,0,0,0,1,0
835,['pinstripe'],2388481.jpeg,0,0,0,0,0,1
836,"['extreme harlequin', 'snowflake', 'soft scale']",2358056.jpeg,0,0,0,0,1,0
837,"['flame', 'harlequin', 'partial pinstripe']",2313319.jpeg,0,0,0,0,1,0
838,['creamsicle'],2445312.jpeg,1,0,0,0,0,0
839,"['pinstripe', 'phantom']",2395006.jpeg,0,0,0,0,1,0
840,"['brindle', 'tiger']",2345870.jpeg,0,0,0,0,0,1
841,"['white wall', 'tri-color', 'drippy']",2539970.jpeg,0,0,0,0,1,0
842,['tri-color'],2376959.jpeg,0,1,0,0,0,0
843,"['tri-color', 'lilly white']",2443670.jpeg,0,0,0,0,1,0
844,['brindle'],2291139.jpeg,1,0,0,0,0,0
845,"['harlequin', 'white wall']",2536505.jpeg,0,0,0,0,1,0
846,"['extreme harlequin', 'extreme harlequin', 'extreme harlequin']",2140243.jpeg,1,0,1,0,0,1
847,[],2539710.jpeg,1,0,0,0,0,0
848,['dalmatian'],2457276.jpeg,0,0,0,0,1,0
849,['extreme harlequin'],2501470.jpeg,1,0,0,0,0,0
850,"['harlequin', 'pinstripe']",2549573.jpeg,0,1,0,0,0,0
851,"['brindle', 'portholes']",2176494.jpeg,0,0,0,0,0,1
852,[],2548453.jpeg,0,1,0,0,0,0
853,"['flame', 'flame']",2390576.jpeg,1,0,0,0,1,0
854,"['dalmatian', 'red spot', 'portholes', 'fringing', 'dalmatian', 'red spot', 'portholes', 'fringing']",2445351.jpeg,0,1,0,0,1,0
855,"['harlequin', 'harlequin']",2458439.jpeg,1,1,0,0,0,0
856,['harlequin'],2185237.jpeg,0,0,0,0,1,0
857,"['extreme harlequin', 'portholes']",2557519.jpeg,0,0,0,0,0,1
858,"['dalmatian', 'red spot', 'patternless']",2402179.jpeg,0,0,0,0,1,0
859,"['brindle', 'tiger', 'brindle', 'tiger']",2493865.jpeg,0,0,0,0,1,1
860,"['harlequin', 'quad-stripe', 'harlequin', 'quad-stripe']",2340006.jpeg,1,1,0,0,0,0
861,"['harlequin', 'drippy']",2185366.jpeg,0,0,1,0,0,0
862,"['brindle', 'harlequin']",2345879.jpeg,0,0,0,0,0,1
863,['extreme harlequin'],2385365.jpeg,0,0,1,0,0,0
864,['harlequin'],2387425.jpeg,0,0,0,0,1,0
865,"['chevron', 'dalmatian']",2307161.jpeg,0,1,0,0,0,0
866,"['harlequin', 'pinstripe']",2408952.jpeg,0,1,0,0,0,0
867,['harlequin'],2467019.jpeg,0,0,0,0,0,1
868,"['dalmatian', 'empty back', 'phantom']",2539586.jpeg,0,0,0,0,0,1
869,"['brindle', 'dalmatian']",2409016.jpeg,0,0,0,0,0,1
870,['harlequin'],2423550.jpeg,0,0,0,0,1,0
871,['pinstripe'],2326521.jpeg,0,0,1,0,0,0
872,[],2326563.jpeg,0,0,0,0,0,1
873,"['harlequin', 'pin-dashed', 'portholes']",2423544.jpeg,0,1,0,0,0,0
874,"['extreme harlequin', 'extreme harlequin', 'extreme harlequin']",2521555.jpeg,1,0,0,0,1,1
875,"['extreme harlequin', 'tri-color']",2437260.jpeg,0,1,0,0,0,0
876,"['dalmatian', 'harlequin', 'pinstripe']",968946.jpeg,0,0,0,0,1,0
877,"['harlequin', 'portholes', 'harlequin', 'portholes']",2553506.jpeg,0,1,0,0,0,1
878,['dalmatian'],2335136.jpeg,0,0,0,0,1,0
879,[],2345896.jpeg,0,0,0,0,0,1
880,['harlequin'],2392899.jpeg,0,0,0,0,0,1
881,"['harlequin', 'tri-color']",2387000.jpeg,0,0,0,0,1,0
882,['partial pinstripe'],2408827.jpeg,0,0,0,0,1,0
883,['harlequin'],2437069.jpeg,0,1,0,0,0,0
884,['tri-color'],2559967.jpeg,0,0,0,0,1,0
885,[],2518349.jpeg,0,0,0,0,1,0
886,"['flame', 'portholes']",2234916.jpeg,0,0,0,0,1,0
887,"['dalmatian', 'portholes', 'phantom']",2553138.jpeg,0,0,0,0,1,0
888,"['pinstripe', 'pos quad-stripe']",1920662.jpeg,0,0,0,0,1,0
889,"['brindle', 'flame']",2161594.jpeg,0,0,0,0,0,1
890,"['harlequin', 'tri-color']",2354555.jpeg,0,1,0,0,0,0
891,['harlequin'],2506251.jpeg,0,0,0,0,1,0
892,"['dalmatian', 'pos super dalmatian', 'red spot']",2510782.jpeg,0,0,0,0,1,0
893,"['partial pinstripe', 'red spot', 'portholes', 'phantom']",2394992.jpeg,0,0,0,0,1,0
894,['brindle'],2291125.jpeg,1,0,0,0,0,0
895,"['pinstripe', 'reverse pinstripe']",2134635.jpeg,0,0,0,0,0,1
896,[],2396917.jpeg,1,1,0,0,0,0
897,[],2216631.jpeg,0,0,0,0,1,0
898,['portholes'],2502042.jpeg,0,0,0,0,1,0
899,"['extreme harlequin', 'harlequin']",2555420.jpeg,0,0,0,0,1,0
900,"['dalmatian', 'harlequin', 'tiger', 'tri-color']",2475786.jpeg,0,0,1,0,0,0
901,['harlequin'],2526616.jpeg,0,1,0,0,0,0
902,"['partial pinstripe', 'peppered', 'portholes', 'fringing', 'kneecaps', 'tri-color']",2545518.jpeg,0,0,1,0,0,0
903,"['dalmatian', 'dalmatian']",2331730.jpeg,0,0,0,0,1,1
904,"['dalmatian', 'super dalmatian', 'red spot']",2366150.jpeg,0,0,0,0,1,0
905,['extreme harlequin'],2354719.jpeg,1,0,0,0,0,0
906,"['pinstripe', 'phantom']",2510581.jpeg,0,0,0,0,1,0
907,['pinstripe'],2224289.jpeg,0,1,0,0,0,0
908,"['dalmatian', 'phantom']",2512126.jpeg,0,0,0,0,0,1
909,"['dalmatian', 'super dalmatian', 'cluster spots']",2691048.jpeg,0,0,0,1,0,0
910,"['reverse pinstripe', 'phantom']",2260453.jpeg,0,0,0,0,0,1
911,"['brindle', 'harlequin', 'tri-color', 'brindle', 'harlequin', 'tri-color']",2000359.jpeg,1,1,0,0,0,0
912,"['quad-stripe', 'white wall', 'drippy']",2249064.jpeg,0,0,0,0,0,1
913,['partial pinstripe'],2327994.jpeg,0,0,0,0,0,1
914,[],2690905.jpeg,0,0,0,0,1,0
915,['harlequin'],2395976.jpeg,0,1,0,0,0,0
916,"['harlequin', 'drippy']",2395954.jpeg,0,1,0,0,0,0
917,"['extreme harlequin', 'harlequin']",2690897.jpeg,0,0,0,0,1,0
918,"['extreme harlequin', 'harlequin']",2690891.jpeg,0,0,0,0,1,0
919,['extreme harlequin'],2690886.jpeg,0,0,1,0,0,0
920,"['pinstripe', 'quad-stripe']",2534471.jpeg,0,0,0,0,0,1
921,['pinstripe'],2690882.jpeg,0,0,1,0,0,0
922,['pinstripe'],2690875.jpeg,0,0,1,0,0,0
923,['pinstripe'],2690872.jpeg,0,0,1,0,0,0
924,['portholes'],2559329.jpeg,0,0,0,0,1,0
925,[],2690812.jpeg,0,0,1,0,0,0
926,['pinstripe'],2690803.jpeg,0,0,1,0,0,0
927,"['pinstripe', 'quad-stripe']",2327911.jpeg,0,1,0,0,0,0
928,"['dalmatian', 'red spot', 'portholes']",2626721.jpeg,0,0,0,0,1,0
929,"['lilly white', 'phantom']",2626708.jpeg,0,0,0,0,1,0
930,"['extreme harlequin', 'extreme harlequin']",1694231.jpeg,0,1,0,0,1,0
931,"['dalmatian', 'super dalmatian', 'ink spot', 'red spot']",2131286.jpeg,0,0,0,0,1,0
932,"['harlequin', 'harlequin']",2605181.jpeg,1,0,0,0,1,0
933,['phantom'],2626568.jpeg,0,0,0,0,1,0
934,['fringing'],2626566.jpeg,0,1,0,0,0,0
935,"['lilly white', 'phantom']",2626554.jpeg,0,0,0,0,1,0
936,"['extreme harlequin', 'pos extreme harlequin', 'portholes', 'drippy']",2131304.jpeg,0,1,0,0,0,0
937,['extreme harlequin'],2690446.jpeg,0,0,1,0,0,0
938,"['brindle', 'harlequin', 'tri-color', 'brindle', 'harlequin', 'tri-color']",2690419.jpeg,1,1,0,0,0,0
939,[],2626475.jpeg,0,1,0,0,0,0
940,"['bold stripe tigers', 'dalmatian', 'tiger', 'portholes']",2690369.jpeg,0,1,0,0,0,0
941,"['pinstripe', 'tiger']",2574540.jpeg,0,0,0,0,0,1
942,"['harlequin', 'pinstripe']",2640275.jpeg,0,0,0,0,1,0
943,"['pin-dashed', 'tiger', 'pin-dashed', 'tiger']",2574520.jpeg,0,0,0,0,1,1
944,"['dalmatian', 'harlequin', 'dalmatian', 'harlequin']",2690268.jpeg,1,1,0,0,0,0
945,"['dalmatian', 'portholes', 'fringing', 'kneecaps']",2574501.jpeg,0,0,0,0,1,0
946,['harlequin'],2626167.jpeg,0,1,0,0,0,0
947,"['dalmatian', 'harlequin', 'pinstripe', 'quad-stripe']",2626157.jpeg,0,1,0,0,0,0
948,"['harlequin', 'partial pinstripe', 'pinstripe', 'quad-stripe']",2626145.jpeg,0,1,0,0,0,0
949,"['pinstripe', 'portholes', 'phantom']",2690022.jpeg,0,0,0,0,0,1
950,['pinstripe'],2689957.jpeg,0,0,0,0,1,0
951,"['dalmatian', 'portholes', 'phantom']",1996414.jpeg,0,0,0,0,1,0
952,"['extreme harlequin', 'pinstripe', 'snowflake']",2689893.jpeg,1,0,0,0,0,0
953,"['bold stripe tigers', 'tiger', 'portholes']",2689891.jpeg,0,1,0,0,0,0
954,"['harlequin', 'partial pinstripe', 'harlequin', 'partial pinstripe']",2689858.jpeg,1,1,0,0,0,0
955,"['dalmatian', 'pin-dashed']",2689848.jpeg,0,1,0,0,0,0
956,"['harlequin', 'pinstripe']",2410341.jpeg,0,0,0,0,1,0
957,"['harlequin', 'pinstripe']",2410304.jpeg,1,0,0,0,0,0
958,['dalmatian'],2437671.jpeg,0,0,0,0,0,1
959,"['partial pinstripe', 'white wall', 'tri-color']",2574141.jpeg,0,1,0,0,0,0
960,"['dalmatian', 'harlequin', 'pinstripe']",2410252.jpeg,1,0,0,0,0,0
961,['phantom'],2689701.jpeg,0,0,0,0,0,1
962,"['extreme harlequin', 'pinstripe', 'tri-color', 'extreme harlequin', 'pinstripe', 'tri-color']",2689460.jpeg,0,1,0,0,1,0
963,['pinstripe'],2689412.jpeg,0,0,1,0,0,0
964,['pinstripe'],2409992.jpeg,0,1,0,0,0,0
965,"['het axanthic', 'het axanthic']",2409941.jpeg,0,0,0,0,1,1
966,"['dalmatian', 'tiger']",2509926.jpeg,0,0,0,0,0,1
967,['dalmatian'],2455604.jpeg,0,0,0,0,1,0
968,"['pinstripe', 'tri-color']",2625492.jpeg,0,0,0,0,1,0
969,"['harlequin', 'partial pinstripe']",2532982.jpeg,0,1,0,0,0,0
970,['pinstripe'],1754053.jpeg,0,0,0,0,1,0
971,['phantom'],2688835.jpeg,0,0,0,0,1,0
972,"['extreme harlequin', 'harlequin', 'creamsicle']",2437029.jpeg,0,0,0,0,1,0
973,"['dalmatian', 'phantom']",2398748.jpeg,0,0,0,0,0,1
974,[],2573449.jpeg,0,1,0,0,0,0
975,[],2573438.jpeg,0,1,0,0,0,0
976,"['dalmatian', 'ink spot']",2411840.jpeg,0,0,0,0,1,0
977,['pinstripe'],2259745.jpeg,0,0,0,0,1,0
978,[],2535480.jpeg,1,0,0,0,1,0
979,[],2474928.jpeg,0,0,0,0,1,0
980,['pinstripe'],2222564.jpeg,0,0,0,0,1,0
981,['partial pinstripe'],2246660.jpeg,0,0,0,0,1,0
982,"['harlequin', 'pinstripe', 'snowflake']",2625249.jpeg,1,0,0,0,0,0
983,"['dalmatian', 'pinstripe']",2625241.jpeg,0,0,0,0,0,1
984,"['portholes', 'het axanthic', 'phantom']",2573411.jpeg,0,0,0,0,1,0
985,['brindle'],2625236.jpeg,0,0,0,0,1,0
986,"['soft scale', 'phantom']",2573403.jpeg,0,0,0,0,1,0
987,[],2222431.jpeg,0,0,0,0,1,0
988,"['harlequin', 'pinstripe', 'harlequin', 'pinstripe']",2212543.jpeg,1,1,0,0,0,0
989,"['harlequin', 'pinstripe', 'harlequin', 'pinstripe']",2212370.jpeg,1,1,0,0,0,0
990,"['pinstripe', 'drippy', 'pinstripe', 'drippy', 'pinstripe', 'drippy']",2431812.jpeg,1,1,1,0,0,0
991,['harlequin'],2625052.jpeg,0,1,0,0,0,0
992,"['dalmatian', 'pinstripe']",1751738.jpeg,0,0,0,0,1,0
993,"['pinstripe', 'phantom']",1751726.jpeg,0,0,0,0,0,1
994,"['harlequin', 'harlequin']",2366137.jpeg,1,1,0,0,0,0
995,"['lilly white', '50% het axanthic']",1430183.jpeg,0,0,0,0,1,0
996,"['harlequin', 'kneecaps', 'tangerine']",2454896.jpeg,0,1,0,0,0,0
997,"['dalmatian', 'tiger']",2454893.jpeg,0,0,0,0,0,1
998,"['dalmatian', 'ink spot', 'dalmatian', 'ink spot']",2454882.jpeg,0,0,0,0,1,1
999,['dalmatian'],2454872.jpeg,0,0,0,0,0,1
1000,['tri-color'],2688201.jpeg,0,0,0,0,1,0
1001,"['extreme harlequin', 'pinstripe', 'quad-stripe']",2603003.jpeg,0,0,0,0,1,0
1002,"['dalmatian', 'harlequin', 'quad-stripe', 'tangerine']",2454833.jpeg,0,1,0,0,0,0
1003,['extreme harlequin'],2554106.jpeg,0,0,0,0,1,0
1004,['flame'],2554084.jpeg,1,0,0,0,0,0
1005,"['pos dalmatian', 'extreme harlequin', 'tri-color']",2688125.jpeg,0,1,0,0,0,0
1006,"['extreme harlequin', 'partial pinstripe', 'tri-color']",2688112.jpeg,0,0,0,0,1,0
1007,"['extreme harlequin', 'tri-color']",2688106.jpeg,0,0,0,0,1,0
1008,['extreme harlequin'],2688100.jpeg,0,0,0,0,1,0
1009,"['brindle', 'dalmatian', 'harlequin', 'brindle', 'dalmatian', 'harlequin']",2688064.jpeg,1,0,0,0,1,0
1010,['harlequin'],2688063.jpeg,0,1,0,0,0,0
1011,"['harlequin', 'pinstripe', 'drippy']",2688017.jpeg,0,1,0,0,0,0
1012,"['pinstripe', 'phantom']",2688008.jpeg,0,0,0,0,1,0
1013,['harlequin'],2688000.jpeg,0,0,0,0,1,0
1014,"['extreme harlequin', 'super dalmatian']",2687859.jpeg,0,0,0,0,0,1
1015,"['portholes', 'bi-color']",2687804.jpeg,0,0,0,0,1,0
1016,"['white wall', 'tri-color']",2624309.jpeg,0,1,0,0,0,0
1017,['phantom'],2687631.jpeg,0,0,0,0,0,1
1018,"['harlequin', 'pinstripe', 'quad-stripe']",2049339.jpeg,0,1,0,0,0,0
1019,"['harlequin', 'pinstripe', 'quad-stripe']",1989383.jpeg,0,1,0,0,0,0
1020,"['harlequin', 'pinstripe', 'portholes']",1989380.jpeg,0,1,0,0,0,0
1021,"['harlequin', 'pinstripe']",2265349.jpeg,0,1,0,0,0,0
1022,"['harlequin', 'pinstripe', 'quad-stripe']",2265356.jpeg,0,1,0,0,0,0
1023,"['harlequin', 'pinstripe']",1989388.jpeg,1,0,0,0,0,0
1024,"['harlequin', 'pinstripe']",2049351.jpeg,0,1,0,0,0,0
1025,"['harlequin', 'pinstripe', 'portholes']",2260202.jpeg,0,1,0,0,0,0
1026,"['harlequin', 'pinstripe', 'quad-stripe']",2049317.jpeg,0,1,0,0,0,0
1027,"['harlequin', 'pinstripe', 'quad-stripe']",2262030.jpeg,0,1,0,0,0,0
1028,"['harlequin', 'pinstripe', 'portholes']",2260169.jpeg,0,1,0,0,0,0
1029,"['harlequin', 'pinstripe']",1985014.jpeg,0,1,0,0,0,0
1030,"['harlequin', 'pinstripe', 'portholes']",1544287.jpeg,0,1,0,0,0,0
1031,"['harlequin', 'pinstripe', 'portholes']",2049323.jpeg,0,1,0,0,0,0
1032,"['flame', 'harlequin', 'portholes']",1661722.jpeg,0,1,0,0,0,0
1033,"['harlequin', 'pinstripe']",2049346.jpeg,0,1,0,0,0,0
1034,"['dalmatian', 'harlequin', 'pinstripe']",1984983.jpeg,0,1,0,0,0,0
1035,"['harlequin', 'pinstripe']",2262032.jpeg,0,1,0,0,0,0
1036,"['harlequin', 'partial pinstripe']",2262039.jpeg,0,1,0,0,0,0
1037,"['harlequin', 'pinstripe']",2049331.jpeg,0,1,0,0,0,0
1038,"['harlequin', 'pinstripe', 'portholes']",2265351.jpeg,0,1,0,0,0,0
1039,"['harlequin', 'pinstripe']",2049342.jpeg,0,1,0,0,0,0
1040,"['tri-color', 'tri-color']",2624237.jpeg,0,1,0,0,1,0
1041,"['extreme harlequin', 'harlequin', 'tri-color', 'extreme harlequin', 'harlequin', 'tri-color']",2624236.jpeg,0,1,0,0,1,0
1042,"['phantom', 'patternless']",1754572.jpeg,0,1,0,0,0,0
1043,"['super dalmatian', 'red spot']",2454255.jpeg,0,0,0,0,1,0
1044,[],2624121.jpeg,0,0,0,0,1,0
1045,"['super dalmatian', 'ink spot', 'red spot']",2454220.jpeg,0,0,0,0,1,0
1046,[],2624099.jpeg,0,0,0,0,1,0
1047,['harlequin'],2316595.jpeg,0,1,0,0,0,0
1048,[],2315405.jpeg,0,0,0,0,1,0
1049,"['extreme harlequin', 'drippy']",2025459.jpeg,0,0,0,0,0,1
1050,['patternless'],2571987.jpeg,0,0,0,1,0,0
1051,['dalmatian'],2571979.jpeg,0,0,0,0,1,0
1052,"['extreme harlequin', 'harlequin', 'pos harlequin', 'kneecaps']",2454029.jpeg,0,1,0,0,0,0
1053,['dalmatian'],2571923.jpeg,0,0,0,0,1,0
1054,"['flame', 'tiger']",2454005.jpeg,0,0,0,0,1,0
1055,"['snowflake', 'portholes', 'fringing', 'kneecaps', 'phantom']",2365471.jpeg,0,0,0,0,1,0
1056,['extreme harlequin'],2365467.jpeg,0,0,0,0,0,1
1057,"['extreme harlequin', 'fringing', 'kneecaps']",2365463.jpeg,0,0,0,0,0,1
1058,['extreme harlequin'],2365460.jpeg,0,0,0,0,0,1
1059,"['extreme harlequin', 'fringing', 'kneecaps']",2365456.jpeg,0,0,0,0,0,1
1060,['extreme harlequin'],2365454.jpeg,0,0,0,0,0,1
1061,['pinstripe'],2630234.jpeg,0,1,0,0,0,0
1062,"['extreme harlequin', 'fringing', 'kneecaps']",2365426.jpeg,0,0,0,0,0,1
1063,"['extreme harlequin', 'fringing', 'tri-color']",2365405.jpeg,0,0,0,0,0,1
1064,['harlequin'],2623588.jpeg,0,1,0,0,0,0
1065,[],2548865.jpeg,0,0,0,0,0,1
1066,['extreme harlequin'],2530591.jpeg,0,0,0,0,1,0
1067,"['harlequin', 'tiger']",2629935.jpeg,0,0,0,0,0,1
1068,['harlequin'],2623433.jpeg,0,0,0,0,1,0
1069,['harlequin'],2112491.jpeg,0,0,0,0,1,0
1070,"['dalmatian', 'pinstripe', 'phantom']",2629825.jpeg,0,0,0,0,0,1
1071,"['bold stripe tigers', 'tiger']",2636680.jpeg,0,0,0,0,0,1
1072,['super dalmatian'],2629811.jpeg,0,0,0,0,1,0
1073,"['dalmatian', 'red spot', 'cluster spots']",2629789.jpeg,0,0,0,0,1,0
1074,['phantom'],2587730.jpeg,0,0,0,0,1,0
1075,['harlequin'],2587765.jpeg,0,0,1,0,0,0
1076,"['dalmatian', 'ink spot', 'dalmatian', 'ink spot']",2686386.jpeg,0,0,0,0,1,1
1077,"['pinstripe', 'tangerine']",2686366.jpeg,0,1,0,0,0,0
1078,"['pinstripe', 'fringing']",2686343.jpeg,0,0,0,0,0,1
1079,"['extreme harlequin', 'fringing', 'kneecaps', 'tri-color']",2365038.jpeg,0,0,0,0,0,1
1080,"['extreme harlequin', 'reverse pinstripe']",2365029.jpeg,0,0,0,0,0,1
1081,"['extreme harlequin', 'fringing', 'kneecaps', 'tri-color']",2365009.jpeg,0,0,0,0,0,1
1082,"['portholes', 'phantom']",2308838.jpeg,0,0,0,0,1,0
1083,"['dalmatian', 'flame']",2507373.jpeg,0,0,0,0,1,0
1084,"['harlequin', 'harlequin']",2530145.jpeg,1,1,0,0,0,0
1085,"['extreme harlequin', 'portholes']",2375215.jpeg,0,1,0,0,0,0
1086,['white out'],2459090.jpeg,0,0,1,0,0,0
1087,"['harlequin', 'tangerine', 'tri-color', 'harlequin', 'tangerine', 'tri-color']",2458923.jpeg,1,1,0,0,0,0
1088,"['dalmatian', 'super dalmatian', 'red spot', 'portholes']",2459332.jpeg,0,0,0,0,1,0
1089,"['harlequin', 'pinstripe']",1715600.jpeg,0,0,0,0,1,0
